name,status,detail,full_sessions,full_years,full_cagr,full_annualized_volatility,full_sharpe,full_max_drawdown,full_calmar,full_annual_cost_drag,full_annual_contract_turnover,full_average_markets_held,train_sessions,train_years,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_calmar,train_annual_cost_drag,train_annual_contract_turnover,train_average_markets_held,test_sessions,test_years,test_cagr,test_annualized_volatility,test_sharpe,test_max_drawdown,test_calmar,test_annual_cost_drag,test_annual_contract_turnover,test_average_markets_held,param_trend_lookback,param_basis_weight,param_basis_roll_window,param_basis_lookback,param_signal_norm_window,param_signal_cap,param_vol_span,param_risk_managed_window,param_risk_managed_cap,param_fast_vol_span,param_slow_vol_span,param_shock_start,param_shock_full,param_shock_floor,param_vol_decay,param_portfolio_vol_window,param_no_trade_buffer,note
search:0295,completed,,6523.0,25.00530469482604,0.05092641356937211,0.07115272794834088,0.7100417604076925,-0.2273435992466093,0.22400636630253248,0.012521111007686625,2244.8612144030667,34.44412080331136,3915.0,15.00646830530401,0.06994797785886542,0.07201352320797169,0.9430016121539737,-0.2093564484593442,0.3341094978139587,0.01506807882691928,2236.5935857064624,31.76015325670498,2608.0,9.99883638952203,0.023011170610726328,0.06982210145488595,0.34974909635892193,-0.1825747875669369,0.12603695678566684,0.008697729484567056,2259.118450260345,38.47315950920245,126,0.9,63,189,378,3.0,30,84,1.0,15,90,1.2,1.75,0.5,0.96,63,0.05,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0179,completed,,6523.0,25.00530469482604,0.05492826393867101,0.07732125156965138,0.7067932988613914,-0.26260396473922953,0.20916768714141754,0.011637137642298427,1917.5831319824754,39.93576575195462,3915.0,15.00646830530401,0.07024974409473939,0.07995077177005477,0.860325070894968,-0.26260396473922953,0.26751212292053034,0.014322852052656534,1802.6097535596934,35.618135376756065,2608.0,9.99883638952203,0.032344093599363966,0.07319160963071598,0.45679577729521137,-0.22070620836241572,0.14654818203506356,0.007605476631350578,2091.7615141134556,46.41717791411043,378,1.0,504,378,252,4.0,120,84,3.0,10,180,1.35,1.5,0.9,0.9,42,0.2,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0122,completed,,6523.0,25.00530469482604,0.05622377942111867,0.07934154389880078,0.7057450830366894,-0.1679318212211942,0.33480122476050905,0.012841631723387304,2250.061819550931,42.7705043691553,3915.0,15.00646830530401,0.07253311818063302,0.08166541834906627,0.8691738440309288,-0.15110769104757205,0.48000944014026387,0.01619898040932454,2204.923233844469,39.05925925925926,2608.0,9.99883638952203,0.032210608527449835,0.07571265022798544,0.44243403990326063,-0.16793182122119343,0.19180765320840082,0.007801746713631054,2319.6752363661276,48.34164110429448,147,0.1,315,63,126,4.0,20,21,3.0,30,60,1.0,2.5,1.0,0.92,189,0.0,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0268,completed,,6523.0,25.00530469482604,0.05433519251856378,0.07837055558509566,0.691455627851804,-0.18090533408042864,0.30035152249522346,0.011466247044894745,1986.1511106243154,43.339874290970414,3915.0,15.00646830530401,0.07089749752206154,0.07668549000292735,0.9012390548478747,-0.15669304870295653,0.4524610256097712,0.013908280605989552,1870.2842949069004,39.35606641123883,2608.0,9.99883638952203,0.029957587490356596,0.08082852963147429,0.39329308027787857,-0.18090533408042953,0.16559814359612865,0.0078003876155672315,2161.7271231844343,49.32016871165644,84,0.1,252,63,378,4.0,80,84,2.5,40,120,1.35,2.5,0.75,0.97,189,0.15,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0091,completed,,6523.0,25.00530469482604,0.049934795856208414,0.07230062117360377,0.6872965483522143,-0.26994292931559827,0.18498278870578663,0.010899921705352238,1573.0230386089813,32.83642495784149,3915.0,15.00646830530401,0.0479929597268125,0.07485504738065085,0.6424037880640076,-0.26994292931559827,0.17778928252905823,0.013282739502442785,1567.2490334063527,30.306002554278415,2608.0,9.99883638952203,0.052855899544133056,0.06830076475219606,0.7628174538627239,-0.15538706136971847,0.3401563751718746,0.007322954038324062,1582.9844169635517,36.63496932515337,441,0.7,126,126,126,3.0,60,252,1.5,30,90,1.5,2.25,0.6,0.98,126,0.0,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0023,completed,,6523.0,25.00530469482604,0.0505232486846634,0.0733245186439686,0.6860971234289596,-0.2355855787983765,0.21445815547098154,0.008947855057856034,1355.957780668127,40.53962900505902,3915.0,15.00646830530401,0.052399000717970434,0.07561577228474213,0.6902985669264643,-0.2355855787983765,0.22242023890102197,0.011118484196113589,1306.0186363636365,37.23295019157088,2608.0,9.99883638952203,0.047714352008076055,0.06975776662192257,0.6805119052952094,-0.14159255999444365,0.3369834686931888,0.005689414461123544,1432.042874075089,45.5034509202454,504,0.0,252,378,504,1.0,100,42,1.0,30,60,1.2,1.5,0.5,0.98,189,0.15,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0195,completed,,6523.0,25.00530469482604,0.050224900427290775,0.0738000399574067,0.6784103260282605,-0.2597786150559813,0.1933373169168197,0.011101312562957493,1675.1949274370209,36.365016096887935,3915.0,15.00646830530401,0.060224854675367645,0.07601219607662257,0.7812423551908972,-0.2597786150559813,0.2318314564206504,0.01339133196091785,1589.2515936473167,33.06232439335888,2608.0,9.99883638952203,0.035393478035131265,0.07035399163314798,0.5128370654260735,-0.22885015794544572,0.1546578702539874,0.007663649241249365,1805.5931645656344,41.3228527607362,441,0.9,378,504,378,1.5,20,252,1.0,30,90,1.0,2.25,0.9,0.97,252,0.3,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0269,completed,,6523.0,25.00530469482604,0.057195255031815107,0.08492683411048839,0.6752021156128527,-0.17091095966545666,0.33464942882404874,0.012686211990193843,2213.0975183461114,43.307373907711174,3915.0,15.00646830530401,0.07407968464321502,0.08306429538578047,0.8726764169634965,-0.17091095966545666,0.43344022401032417,0.015526241178359728,2055.572521905805,39.26794380587484,2608.0,9.99883638952203,0.03235153254840739,0.08764513584754083,0.39485529198863845,-0.15835130178513213,0.2043022834905733,0.008422901303204035,2451.398757878871,49.37116564417178,84,0.1,504,189,252,1.5,40,42,3.0,40,120,1.0,1.5,1.0,0.92,63,0.35,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0047,completed,,6523.0,25.00530469482604,0.05736686661979151,0.08573588258586608,0.6714425863378692,-0.18977472841912113,0.30228928318156084,0.014503968081415934,2864.3733014786417,43.94358424038019,3915.0,15.00646830530401,0.08524197611061535,0.08551870483339943,0.9668312856490611,-0.13037742598717073,0.6538093190994831,0.01787024063076976,2654.7089047097484,39.289910600255425,2608.0,9.99883638952203,0.01686918036360119,0.08602266151490973,0.2309237710833623,-0.1897747284191198,0.08889055199354784,0.0094506870113545,3181.4833824335433,50.92944785276074,63,0.0,315,189,504,1.0,20,21,1.0,15,120,1.2,2.0,0.6,0.92,189,0.2,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0235,completed,,6523.0,25.00530469482604,0.051420650338335205,0.07651578485730233,0.6713716962837627,-0.1875622337049594,0.2741524736755978,0.012164899742023227,2006.1934427710842,38.3614901119117,3915.0,15.00646830530401,0.06773614561436148,0.07709900979369323,0.85977945079391,-0.1875622337049594,0.3611395763227704,0.015077261658650941,1943.426139101862,34.707024265644954,2608.0,9.99883638952203,0.027400671575734004,0.07562463857945806,0.3831681704413476,-0.18568523681869376,0.1475651594342338,0.00779300675751498,2102.0711818306386,43.84739263803681,147,1.0,378,315,189,4.0,40,189,2.0,20,90,1.35,1.75,0.75,0.92,126,0.1,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0052,completed,,6523.0,25.00530469482604,0.053176381090218605,0.07932226238004261,0.6707127301269867,-0.17323140408339377,0.3069673271517181,0.011476160027041963,1898.5809208652793,43.27165414686494,3915.0,15.00646830530401,0.06362729604126782,0.07948168627421962,0.7894781679364095,-0.14747812432594887,0.4314354846325677,0.0142036678907271,1834.2801054216868,39.1992337164751,2608.0,9.99883638952203,0.03768381558745304,0.07908897972278953,0.491491512695182,-0.1732314040833942,0.21753455031347502,0.007381760760812163,1996.6723458481777,49.38496932515337,126,0.1,504,378,378,2.5,120,126,2.0,15,90,1.35,2.5,0.75,0.94,252,0.05,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0017,completed,,6523.0,25.00530469482604,0.05130716975798966,0.07663924508265328,0.6690666523847112,-0.21173072090277556,0.24232274626575967,0.010403878843430796,1606.9869906900328,40.76529204353825,3915.0,15.00646830530401,0.059352667243576684,0.07914054693047133,0.7433936770136985,-0.21173072090277556,0.2803214714922299,0.013059558936858602,1582.2507790251918,37.29348659003831,2608.0,9.99883638952203,0.03934683813897477,0.07273221028878588,0.5490599409586432,-0.17420067131002226,0.22587076067548448,0.006417303856555845,1645.4429864346396,45.97699386503067,504,0.1,63,378,252,1.5,60,21,2.0,15,60,1.35,1.75,0.75,0.94,189,0.15,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0053,completed,,6523.0,25.00530469482604,0.049828753631594,0.07551021156552314,0.6599239244588582,-0.19463367191838166,0.25601301738010346,0.013426004319675725,2314.709342004381,38.35152537176146,3915.0,15.00646830530401,0.06926627831074939,0.07772839797531941,0.8712455625507919,-0.19463367191838166,0.3558802422419269,0.01667582399931208,2375.276389649507,34.71519795657726,2608.0,9.99883638952203,0.021317580497203892,0.07203391569502497,0.31896262319477126,-0.14960119105018332,0.14249606134521325,0.008547536510712413,2225.6871005755,43.810199386503065,126,0.8,126,126,504,2.5,100,189,2.5,10,120,1.75,2.5,0.6,0.94,63,0.05,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0040,completed,,6523.0,25.00530469482604,0.04834966313418487,0.07431803430226709,0.6509793016158757,-0.16443276630475512,0.29403910315888593,0.010495362808699806,1753.2040046549835,41.89897286524605,3915.0,15.00646830530401,0.0675852795131191,0.07500282434840479,0.8798624756345718,-0.1367025701082777,0.49439655347801426,0.012868001915013607,1718.1332571193866,39.095274584929754,2608.0,9.99883638952203,0.02012889253161254,0.07326082021424667,0.2994812106521073,-0.16443276630475678,0.12241412088334029,0.006933674886453445,1807.2947602082763,46.107745398773005,168,0.0,63,252,504,1.0,30,84,2.0,40,120,1.9,2.0,0.5,0.98,126,0.3,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0234,completed,,6523.0,25.00530469482604,0.048932284347895205,0.07672670272638007,0.6399251157044656,-0.23389248468949098,0.20920845068133043,0.010643652875671795,1461.9301117196057,39.331289284071744,3915.0,15.00646830530401,0.049817145082778236,0.07988309820541926,0.6278777285595344,-0.23389248468949098,0.21299164506680948,0.01337349219012737,1439.5675095837898,36.34942528735632,2608.0,9.99883638952203,0.04760566580915615,0.07174316023922338,0.6622501203483542,-0.1463182160930584,0.32535706817857146,0.006545753751402787,1496.7035084954782,43.80751533742331,441,0.1,315,504,504,3.0,40,21,1.0,10,252,1.35,2.5,0.6,0.94,42,0.1,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0108,completed,,6523.0,25.00530469482604,0.046727254313730926,0.07538892139463181,0.6229643627003949,-0.20963395626576042,0.2228992628202519,0.009292343901431967,1388.001509309967,39.68327456691706,3915.0,15.00646830530401,0.052632808022755384,0.07549206800267143,0.6941387288090638,-0.20963395626576042,0.25107005067457155,0.01135709934927494,1341.5561048740417,36.70753512132823,2608.0,9.99883638952203,0.03792619072591408,0.0752453567195956,0.5156772897870334,-0.18300554045592088,0.20724066949792191,0.006192835627541924,1458.8680289120307,44.15030674846626,504,0.2,504,63,504,4.0,40,42,1.5,10,60,1.2,2.25,0.9,0.96,252,0.4,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
