parameter,value,name,status,detail,full_sessions,full_years,full_cagr,full_annualized_volatility,full_sharpe,full_max_drawdown,full_calmar,full_annual_cost_drag,full_annual_contract_turnover,full_average_markets_held,train_sessions,train_years,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_calmar,train_annual_cost_drag,train_annual_contract_turnover,train_average_markets_held,test_sessions,test_years,test_cagr,test_annualized_volatility,test_sharpe,test_max_drawdown,test_calmar,test_annual_cost_drag,test_annual_contract_turnover,test_average_markets_held,is_frozen,note
shock_floor,0.9,profile:shock_floor=0.9,completed,,6523.0,25.00530469482604,0.13293922136177017,0.07720161155692064,1.6007566086915892,-0.11887094716826085,1.1183491385291628,0.010433506716723079,5058.9486645673605,39.82400735857734,3915.0,15.00646830530401,0.1552110531834605,0.07761435081575366,1.8349005418862911,-0.09903667262341909,1.5672078743360158,0.0127065402810235,3157.6340922782038,34.84648786717752,2608.0,9.99883638952203,0.10031638753485805,0.07655817676181466,1.244921088568804,-0.11887094716826108,0.8439100547660383,0.007021341684423939,7917.424431351055,47.29601226993865,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_floor,1.0,profile:shock_floor=1.0,completed,,6523.0,25.00530469482604,0.13340843438786965,0.07701664759971204,1.6096119100387216,-0.12178858250709201,1.0954100264702644,0.010432928755081065,5094.35278422782,39.84592978690787,3915.0,15.00646830530401,0.15565701419361888,0.07748721692833817,1.8425978595268775,-0.09832837518891901,1.5830325060752193,0.012704834982610316,3172.56916347207,34.85593869731801,2608.0,9.99883638952203,0.10081851585296242,0.07628506002542226,1.2548849635979902,-0.1217885825070919,0.8278158245834878,0.007022456024721781,7983.586473691423,47.33665644171779,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_full,1.5,profile:shock_full=1.5,completed,,6523.0,25.00530469482604,0.1325655528329599,0.07712573364039704,1.59812186331984,-0.113187464475211,1.1712034848346025,0.01045637193757793,5046.667235487404,39.825080484439674,3915.0,15.00646830530401,0.15506538590378938,0.07752916852860146,1.8352588808972616,-0.09762114407885059,1.588440571630055,0.012742926639516879,3171.902419222344,34.81711366538953,2608.0,9.99883638952203,0.099617135056979,0.0764956821488355,1.2378446409643895,-0.11318746447521144,0.8801074882174394,0.007023909645365125,7865.27552959715,47.342791411042946,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_full,1.75,profile:shock_full=1.75,completed,,6523.0,25.00530469482604,0.13181587883982404,0.07706603161605602,1.5909968428109065,-0.11792486726705753,1.1177954395429452,0.01042504084655174,4950.3760309419495,39.780469109305535,3915.0,15.00646830530401,0.15346139478773901,0.07756207303086532,1.8171992166657491,-0.1004660480363494,1.5274950870190045,0.012714348151622762,3111.4287157721797,34.79003831417624,2608.0,9.99883638952203,0.10008971020275692,0.07629734900498356,1.2463058879870323,-0.11792486726705831,0.8487583028275874,0.006988446483302872,7715.134737599342,47.27185582822086,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_full,2.0,baseline,completed,,6523.0,25.00530469482604,0.13189524685750764,0.07718572567461184,1.5895266624546427,-0.11847122445591607,1.1133104048113114,0.010421436303130022,4987.660369386637,39.82032806990649,3915.0,15.00646830530401,0.15417700691552794,0.07769974768818137,1.8218300400377898,-0.099034027539873,1.556808409649434,0.012713123589080296,3148.032975082147,34.85134099616858,2608.0,9.99883638952203,0.09925894552865455,0.07638774246481511,1.2353633553830865,-0.11847122445591673,0.8378316843141004,0.006981269230854209,7753.470686489449,47.2795245398773,True,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_full,2.25,profile:shock_full=2.25,completed,,6523.0,25.00530469482604,0.13265099540742353,0.0772451102073201,1.5967151179437165,-0.11678818452340922,1.1358254771126675,0.010435878712093798,5026.9449405805035,39.843936838877816,3915.0,15.00646830530401,0.15447560623080703,0.07767806840089657,1.8255354508978723,-0.09884767750663104,1.5627641450700172,0.012713206685592197,3151.2333474808324,34.846232439335886,2608.0,9.99883638952203,0.10066796728715732,0.07657225735793144,1.2487387581508955,-0.11678818452341022,0.8619704784175184,0.0070172671261098125,7846.958352973417,47.346242331288344,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_full,2.5,profile:shock_full=2.5,completed,,6523.0,25.00530469482604,0.1330114901715782,0.07729223394224206,1.5997679940609522,-0.11941130071194817,1.1138936547759186,0.010437831062814462,5060.948897316539,39.85006898666258,3915.0,15.00646830530401,0.1550327665244584,0.0776732586484548,1.831647144368302,-0.09913657662424835,1.5638301402324004,0.012706988705330364,3156.3006037787513,34.852107279693485,2608.0,9.99883638952203,0.10074687448568276,0.07669788384605143,1.2477225916136236,-0.11941130071194783,0.8436963158848032,0.007031484371691088,7924.431001644286,47.352760736196316,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_start,1.0,profile:shock_start=1.0,completed,,6523.0,25.00530469482604,0.13316662262354306,0.07729250567819738,1.6014748609482676,-0.11972415800963732,1.1122786314590216,0.010493091388226426,5120.23579600219,39.85313506055496,3915.0,15.00646830530401,0.15595912090977437,0.07796449660400627,1.835034070051712,-0.09776250347883042,1.5952856704773921,0.012790644187746007,3203.439422234392,34.84010217113666,2608.0,9.99883638952203,0.09979974856595497,0.07625117961684802,1.2436734343878908,-0.11972415800963865,0.8335807093996884,0.007044119298456804,8002.003744176487,47.3784509202454,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_start,1.2,profile:shock_start=1.2,completed,,6523.0,25.00530469482604,0.13178868833193969,0.07722648380810929,1.5875516221780324,-0.11844025093663468,1.1127018668885327,0.010457691393864783,5012.703283406352,39.83535183197915,3915.0,15.00646830530401,0.15492190395275718,0.07767982338447718,1.830306010754358,-0.10008836789532816,1.5478512359675365,0.01273614327644163,3149.0997658817087,34.83499361430396,2608.0,9.99883638952203,0.09793650985769453,0.0765184494091486,1.2181805042202014,-0.11844025093663335,0.826885362731049,0.007037392651422932,7814.527941901891,47.34164110429448,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_start,1.35,baseline,completed,,6523.0,25.00530469482604,0.13189524685750764,0.07718572567461184,1.5895266624546427,-0.11847122445591607,1.1133104048113114,0.010421436303130022,4987.660369386637,39.82032806990649,3915.0,15.00646830530401,0.15417700691552794,0.07769974768818137,1.8218300400377898,-0.099034027539873,1.556808409649434,0.012713123589080296,3148.032975082147,34.85134099616858,2608.0,9.99883638952203,0.09925894552865455,0.07638774246481511,1.2353633553830865,-0.11847122445591673,0.8378316843141004,0.006981269230854209,7753.470686489449,47.2795245398773,True,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_start,1.5,profile:shock_start=1.5,completed,,6523.0,25.00530469482604,0.13282452878655238,0.0772537194884068,1.5984626412529839,-0.11847237898289076,1.1211434253863872,0.010443289852847018,5066.989600219058,39.836578261536104,3915.0,15.00646830530401,0.15517093744652533,0.07762503310444209,1.8342262698762544,-0.09903613574590864,1.5668113085978894,0.012713162876618249,3158.834231927711,34.846232439335886,2608.0,9.99883638952203,0.10009517571485405,0.0766731058267467,1.2406359851250979,-0.11847237898289076,0.8448819596111035,0.007035869266932769,7935.741607974787,47.327837423312886,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_start,1.75,profile:shock_start=1.75,completed,,6523.0,25.00530469482604,0.1334075893043647,0.07707001502889507,1.6085413139239717,-0.12177453639079605,1.0955294370921365,0.010439407702582797,5092.4325607886085,39.86263988962134,3915.0,15.00646830530401,0.15546672535716333,0.07754752924264889,1.8391727059669918,-0.0983245392758022,1.5811589507790746,0.012710248729040934,3168.0353025739323,34.87305236270753,2608.0,9.99883638952203,0.1010885564430366,0.07632845108183174,1.257320845268984,-0.12177453639079638,0.830128854842241,0.0070305339991381605,7985.588350918059,47.352760736196316,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
shock_start,1.9,profile:shock_start=1.9,completed,,6523.0,25.00530469482604,0.13347674734832204,0.0771344624236,1.6080260522127994,-0.12218210779086558,1.0924410272639025,0.010443155689335869,5098.873310240963,39.876437222137056,3915.0,15.00646830530401,0.15546320742706787,0.07754009977739683,1.839303576911846,-0.09832837518891901,1.5810614904230371,0.012709275606299565,3167.5019071741513,34.87305236270753,2608.0,9.99883638952203,0.10126161644292653,0.07650269338938268,1.256616010335845,-0.12218210779086547,0.8287761463098364,0.007041369080857005,8002.5042134831465,47.387269938650306,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_cap,1.0,profile:signal_cap=1.0,completed,,6523.0,25.00530469482604,0.13384817584605657,0.07687638591727791,1.6172869434075645,-0.12526967003127643,1.0684803098199136,0.010258346896187077,5293.7359846659365,33.817108692319486,3915.0,15.00646830530401,0.16182813036099652,0.07732569387605498,1.9128564105404806,-0.07615124759379643,2.125088366565115,0.012486718911431088,3335.921504654984,30.16934865900383,2608.0,9.99883638952203,0.09311470382601184,0.07615732200048866,1.1677326033221724,-0.12526967003127654,0.7433140344567328,0.006913225561953834,8237.224318306386,39.29294478527607,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_cap,1.5,profile:signal_cap=1.5,completed,,6523.0,25.00530469482604,0.13456450788290852,0.07724479104027554,1.6178401801551272,-0.12940275036048543,1.0398890866542145,0.01037440240043238,5244.050203176342,36.99954008891614,3915.0,15.00646830530401,0.1594205027170299,0.07757119581663316,1.8811960599856816,-0.08801461234747532,1.8112958571884552,0.01263718556570228,3258.7125205366924,32.60127713920817,2608.0,9.99883638952203,0.09825651567755234,0.07672439968367892,1.2187813556602498,-0.12940275036048499,0.7593077844468783,0.006977624757782203,8228.816433954507,43.60199386503067,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_cap,2.0,baseline,completed,,6523.0,25.00530469482604,0.13189524685750764,0.07718572567461184,1.5895266624546427,-0.11847122445591607,1.1133104048113114,0.010421436303130022,4987.660369386637,39.82032806990649,3915.0,15.00646830530401,0.15417700691552794,0.07769974768818137,1.8218300400377898,-0.099034027539873,1.556808409649434,0.012713123589080296,3148.032975082147,34.85134099616858,2608.0,9.99883638952203,0.09925894552865455,0.07638774246481511,1.2353633553830865,-0.11847122445591673,0.8378316843141004,0.006981269230854209,7753.470686489449,47.2795245398773,True,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_cap,2.5,profile:signal_cap=2.5,completed,,6523.0,25.00530469482604,0.13249709200129733,0.07762865299470735,1.5875200752476644,-0.1076924178044677,1.2303288820376044,0.010555532541118025,5049.667584611172,41.996933926107616,3915.0,15.00646830530401,0.15414119785330227,0.07820397934331666,1.81020604395163,-0.10191859197820474,1.512395283936667,0.012837958589526478,3136.7649972617746,36.47560664112388,2608.0,9.99883638952203,0.1007724947085511,0.07673923425366781,1.2473874192704555,-0.1076924178044677,0.9357436369524101,0.007129267978418991,7925.532034118936,50.285276073619634,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_cap,3.0,profile:signal_cap=3.0,completed,,6523.0,25.00530469482604,0.12873555453092567,0.07784590182748599,1.542001969903353,-0.10972989151371992,1.173204062767431,0.010569095303709449,4876.967489047097,43.43783535183198,3915.0,15.00646830530401,0.1530670213126175,0.07870502077457457,1.7877486370754827,-0.10095507075533794,1.5161895303265307,0.012847426875470067,3103.6278080503835,37.57956577266922,2608.0,9.99883638952203,0.09317849034083725,0.0765115596723327,1.1634238320244905,-0.10972989151371904,0.8491623299307424,0.007148977165886283,7543.173483831187,52.23197852760736,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_cap,4.0,profile:signal_cap=4.0,completed,,6523.0,25.00530469482604,0.12494988760600134,0.0783807345445376,1.4905881319725123,-0.10333997649287108,1.2091147283609167,0.010606616418720906,4750.712797918948,45.21217231335275,3915.0,15.00646830530401,0.15114507800684485,0.07882885533345195,1.7646049769128669,-0.10024737900878511,1.5077209948162271,0.012827056348807113,3113.628971796276,38.81558109833972,2608.0,9.99883638952203,0.08674997318774524,0.07767069662391146,1.0738307262189881,-0.10333997649287074,0.8394619016942585,0.007273402336555445,7212.263178268018,54.81441717791411,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_norm_window,126.0,profile:signal_norm_window=126,completed,,6523.0,25.00530469482604,0.13420785535687507,0.07698947649197004,1.6190060746619332,-0.1275283015695592,1.0523770308637928,0.010371263041881065,5296.1762686199345,36.26352905105013,3915.0,15.00646830530401,0.1590278768532809,0.07699475879690333,1.8904533500320124,-0.08470383421502825,1.8774578308884393,0.012622303173321704,3360.457693044907,31.66845466155811,2608.0,9.99883638952203,0.09795131116809208,0.07695398617133023,1.211886857735569,-0.12752830156956008,0.7680750857852892,0.006992113458065846,8206.4955028775,43.1614263803681,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_norm_window,189.0,profile:signal_norm_window=189,completed,,6523.0,25.00530469482604,0.13245671441022644,0.07721109183425338,1.5952394191295383,-0.12082200580157787,1.0962962709604067,0.010425252403978128,5035.98599260679,38.08983596504676,3915.0,15.00646830530401,0.1546946213553213,0.0773096439342086,1.8362396331726292,-0.09953405546453431,1.5541878669903253,0.012702142295195158,3159.2342784775465,33.26845466155811,2608.0,9.99883638952203,0.0998827116388914,0.07704358984672798,1.232617562793948,-0.12082200580157865,0.8266930430117585,0.007007298445345201,7857.568302274596,45.32745398773006,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_norm_window,252.0,baseline,completed,,6523.0,25.00530469482604,0.13189524685750764,0.07718572567461184,1.5895266624546427,-0.11847122445591607,1.1133104048113114,0.010421436303130022,4987.660369386637,39.82032806990649,3915.0,15.00646830530401,0.15417700691552794,0.07769974768818137,1.8218300400377898,-0.099034027539873,1.556808409649434,0.012713123589080296,3148.032975082147,34.85134099616858,2608.0,9.99883638952203,0.09925894552865455,0.07638774246481511,1.2353633553830865,-0.11847122445591673,0.8378316843141004,0.006981269230854209,7753.470686489449,47.2795245398773,True,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_norm_window,378.0,profile:signal_norm_window=378,completed,,6523.0,25.00530469482604,0.1310698684193916,0.07760163875945925,1.5723435021374037,-0.10921534837201996,1.2001048421594431,0.010563879427274197,5009.7029342825845,41.9267208339721,3915.0,15.00646830530401,0.15334433568496264,0.07806608580738054,1.804721107476764,-0.09427013421777042,1.6266481103201444,0.012903366335498535,3212.5071440306683,36.57522349936143,2608.0,9.99883638952203,0.09844456514941524,0.07687958234392513,1.2186344086052716,-0.1092153483720193,0.9013803152839321,0.007051957937359208,7711.831640175391,49.9601226993865,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_norm_window,504.0,profile:signal_norm_window=504,completed,,6523.0,25.00530469482604,0.1307676558173756,0.07761921080514907,1.5686745770231965,-0.10359588791018104,1.2622861626588193,0.01050245175687936,4979.61943373494,43.104553119730184,3915.0,15.00646830530401,0.15391245339907655,0.07825801780830986,1.8065647734819605,-0.09918474748955997,1.5517754220756286,0.012853474184040212,3247.3111938663747,37.38544061302682,2608.0,9.99883638952203,0.09689971778400186,0.0766277956532539,1.2046330034580122,-0.10359588791018182,0.9353625876348918,0.006973213719174322,7584.312060838586,51.689800613496935,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
slow_vol_span,60.0,profile:slow_vol_span=60,completed,,6523.0,25.00530469482604,0.133639059179532,0.07725428502390017,1.607443445241184,-0.12129491353685529,1.1017696891215967,0.010450137607141958,5129.716899233296,39.885942051203436,3915.0,15.00646830530401,0.1558456169765572,0.07749187256803776,1.8445266311740955,-0.09832837518891901,1.584950597191603,0.012708620533135633,3181.4368619934285,34.85619412515964,2608.0,9.99883638952203,0.10110905945749349,0.07687700340266575,1.2491307438927346,-0.12129491353685429,0.8335803745535667,0.007059815270000381,8058.756963551658,47.436349693251536,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
