name,status,detail,full_sessions,full_years,full_cagr,full_annualized_volatility,full_sharpe,full_max_drawdown,full_calmar,full_annual_cost_drag,full_annual_contract_turnover,full_average_markets_held,train_sessions,train_years,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_calmar,train_annual_cost_drag,train_annual_contract_turnover,train_average_markets_held,test_sessions,test_years,test_cagr,test_annualized_volatility,test_sharpe,test_max_drawdown,test_calmar,test_annual_cost_drag,test_annual_contract_turnover,test_average_markets_held
search:0016,completed,,6523.0,25.00530469482604,0.1012039290910638,0.07688896370183217,1.2498647232339086,-0.14713806535673968,0.6878160919520894,0.01103657815694782,3495.006682639649,41.93898512954162,3915.0,15.00646830530401,0.11959603040699229,0.07834287383256869,1.4323019375258377,-0.14713806535673968,0.812815025921599,0.013322790790848511,2540.2289170317636,36.24904214559387,2608.0,9.99883638952203,0.07416611047714072,0.07464227688185211,0.9634955565229936,-0.10063802460129567,0.7369591242571535,0.007604629360275573,4931.2241723759935,50.48044478527607
search:0017,completed,,6523.0,25.00530469482604,0.05130716975798966,0.07663924508265328,0.6690666523847112,-0.21173072090277556,0.24232274626575967,0.010403878843430796,1606.9869906900328,40.76529204353825,3915.0,15.00646830530401,0.059352667243576684,0.07914054693047133,0.7433936770136985,-0.21173072090277556,0.2803214714922299,0.013059558936858602,1582.2507790251918,37.29348659003831,2608.0,9.99883638952203,0.03934683813897477,0.07273221028878588,0.5490599409586432,-0.17420067131002226,0.22587076067548448,0.006417303856555845,1645.4429864346396,45.97699386503067
search:0018,completed,,6523.0,25.00530469482604,0.1120949439392609,0.08135570832929014,1.3024900448220076,-0.09930226954259025,1.128825599410736,0.011689539965957261,4505.004207009857,47.03219377587,3915.0,15.00646830530401,0.1415728454758205,0.08221326652179729,1.5971315789846439,-0.09930226954259025,1.4256758292427607,0.01446646476850831,3348.989691949617,40.23065134099617,2608.0,9.99883638952203,0.06927616901864564,0.08000703676711171,0.8489908852730063,-0.0953779718309099,0.7263330063409333,0.0075209584467903256,6244.1553514661555,57.24233128834356
search:0019,completed,,6523.0,25.00530469482604,0.042215494256872876,0.0774426790922579,0.5545403013615606,-0.314933416267965,0.1340457762695887,0.010923336889885341,1635.8703515881707,38.326996780622416,3915.0,15.00646830530401,0.06509232387001407,0.0788441405930517,0.8120748809285163,-0.24490847422653383,0.2657822440631654,0.013317178498979931,1619.3884337349398,35.314942528735635,2608.0,9.99883638952203,0.008800259183506354,0.07526091524321916,0.15011040295328695,-0.31493341626796256,0.027943237296923145,0.007329820824085756,1661.9584735543986,42.84854294478528
search:0020,completed,,6523.0,25.00530469482604,0.07609274055816773,0.07598289031945808,0.9704837679276547,-0.1812218984043723,0.41988711755119684,0.012439323334298785,2789.4045780394304,44.022535643109,3915.0,15.00646830530401,0.09316319735521406,0.07774154352486322,1.1457930895171087,-0.1812218984043723,0.5140835526804431,0.01535802026036582,2442.6842332968235,38.7890166028097,2608.0,9.99883638952203,0.05097197578581181,0.07325451493529656,0.6923693191351954,-0.15690453718046482,0.3248597950178206,0.008057920548427454,3312.205965332968,51.87883435582822
search:0021,completed,,6523.0,25.00530469482604,0.09704688675800233,0.08051874499670139,1.1516706613078773,-0.13045630682940335,0.7439033736016286,0.01150237862139804,3861.129285049288,46.38663191782922,3915.0,15.00646830530401,0.13246324942235765,0.08232025788567382,1.5011062252218943,-0.12109385721041199,1.0938890912706685,0.014107849286305148,3046.887872398686,39.859003831417624,2608.0,9.99883638952203,0.045960928824928304,0.07766047881506104,0.59792365693196,-0.13045630682940268,0.35230898330604493,0.007591175533548599,5086.66993902439,56.18558282208589
search:0022,completed,,6523.0,25.00530469482604,0.06211051096751219,0.07631321155090183,0.8010439190875264,-0.20134596141928518,0.30847656704756315,0.012797821265924918,2389.2380142387733,41.44059481833512,3915.0,15.00646830530401,0.0763215429253361,0.0781974284056224,0.9477614068278528,-0.20134596141928518,0.37905673591536926,0.01596373950142627,2360.4079928806136,36.77956577266922,2608.0,9.99883638952203,0.04113363189863972,0.07339168807729778,0.5673925142002968,-0.1760117938197755,0.23369815741300753,0.008045302135561504,2434.4828953137844,48.4375
search:0023,completed,,6523.0,25.00530469482604,0.0505232486846634,0.0733245186439686,0.6860971234289596,-0.2355855787983765,0.21445815547098154,0.008947855057856034,1355.957780668127,40.53962900505902,3915.0,15.00646830530401,0.052399000717970434,0.07561577228474213,0.6902985669264643,-0.2355855787983765,0.22242023890102197,0.011118484196113589,1306.0186363636365,37.23295019157088,2608.0,9.99883638952203,0.047714352008076055,0.06975776662192257,0.6805119052952094,-0.14159255999444365,0.3369834686931888,0.005689414461123544,1432.042874075089,45.5034509202454
search:0024,completed,,6523.0,25.00530469482604,0.10026088954827395,0.07298586486358515,1.3013626263654337,-0.19222666963817459,0.5215763751044199,0.011326192281115954,3560.094256297919,43.258623332822324,3915.0,15.00646830530401,0.11925844044605194,0.07326267701079321,1.5224002426224739,-0.19222666963817459,0.6204052781569297,0.013828418498194946,2732.1179121029572,36.69476372924649,2608.0,9.99883638952203,0.07235236609730533,0.0725542272293478,0.9666007968813367,-0.12530016642786523,0.5774323223980574,0.007569974627793773,4806.006751849822,53.11196319018405
search:0025,completed,,6523.0,25.00530469482604,0.07114891316434302,0.07852109062232418,0.8849680104449145,-0.2060936991825112,0.3452260474073756,0.011739110800292215,2422.881929079956,44.91890234554653,3915.0,15.00646830530401,0.08314320742441406,0.07697243832792541,1.0408852474695864,-0.1305937433003933,0.6366553658942683,0.0143661833755771,2098.0441306133625,39.60715197956577,2608.0,9.99883638952203,0.05339641321163047,0.08079463849644195,0.6625463320184228,-0.20609369918250986,0.2590880430766801,0.007795479998052821,2912.531177034804,52.892638036809814
search:0026,completed,,6523.0,25.00530469482604,0.06894226310903884,0.07461955248999841,0.9005170414804259,-0.18455844576555336,0.3735524691003139,0.011076608240909313,2192.9751768893757,42.13429403648628,3915.0,15.00646830530401,0.08602497888594063,0.07442096610686355,1.1084768857204068,-0.18455844576555336,0.4661123934432083,0.013580311699821997,1859.1496659364732,37.04699872286079,2608.0,9.99883638952203,0.04380709121101534,0.0749076847068262,0.5904863910251765,-0.15612202099071448,0.28059520965092305,0.007318173025555342,2695.9280611126337,49.77108895705521
