Date,gross_return,cost_return,net_return,nav,turnover_fraction,traded_notional_usd,impact_cost_return,fixed_cost_return,participation_fill_fraction,order_deferred,rebalance_session,risk_weight_sum,cash_weight,sleeves_held,book_live
2018-01-02,0.0013406676773407753,2.009616310635782e-05,0.0013205715142344174,1.638517528449558,0.04806059380837711,7864427.000000041,8.081014654263542e-06,1.2015148452094277e-05,0.8789515289133967,True,True,0.9116508951797619,0.08834910482023806,11,True
2018-01-03,0.0026114790910994968,2.6199766059295573e-06,0.0026088591144935672,1.642792189837911,0.008782005009711484,1438946.9143344099,4.244753535016862e-07,2.195501252427871e-06,1.0,False,False,0.9149603276163892,0.08503967238361076,11,True
2018-01-04,0.001023760185600739,0.0,0.001023760185600739,1.6444740150750827,0.0,0.0,0.0,0.0,1.0,False,False,0.9150878439526725,0.08491215604732748,11,True
2018-01-05,0.0014131385584249022,0.0,0.0014131385584249022,1.6467978847141131,0.0,0.0,0.0,0.0,1.0,False,False,0.9152076672675156,0.08479233273248442,11,True
2018-01-08,0.000501764496685015,0.0,0.000501764496685015,1.6476241894258785,0.0,0.0,0.0,0.0,1.0,False,False,0.9152501917124152,0.08474980828758485,11,True
2018-01-09,-0.002707688858791155,0.0,-0.002707688858791155,1.6431629357646953,0.0,0.0,0.0,0.0,1.0,False,False,0.9150505178647169,0.08494948213528304,11,True
2018-01-10,-0.0012047213984004706,0.0,-0.0012047213984004706,1.641183382214921,0.0,0.0,0.0,0.0,1.0,False,False,0.9149175919662434,0.08508240803375658,11,True
2018-01-11,0.003662147024686833,0.0,0.003662147024686833,1.647193637055065,0.0,0.0,0.0,0.0,1.0,False,False,0.9152583901995514,0.08474160980044869,11,True
2018-01-12,0.003049575637836712,0.0,0.003049575637836712,1.652216878641428,0.0,0.0,0.0,0.0,1.0,False,False,0.9155261181275086,0.0844738818724914,11,True
2018-01-16,-0.0010397852787052688,0.0,-0.0010397852787052688,1.6504989278537883,0.0,0.0,0.0,0.0,1.0,False,False,0.9154482901769899,0.08455170982301005,11,True
2018-01-17,0.0021169922176103805,0.0,0.0021169922176103805,1.6539930212392289,0.0,0.0,0.0,0.0,1.0,False,False,0.915657137877442,0.08434286212255804,11,True
2018-01-18,-0.0031787023568646032,0.0,-0.0031787023568646032,1.6487354697243781,0.0,0.0,0.0,0.0,1.0,False,False,0.9154084000392438,0.08459159996075614,11,True
2018-01-19,0.0017820046445845075,0.0,0.0017820046445845075,1.651673523989118,0.0,0.0,0.0,0.0,1.0,False,False,0.9155286015434232,0.08447139845657686,11,True
2018-01-22,0.0027164425590207194,0.0,0.0027164425590207194,1.6561602002432898,0.0,0.0,0.0,0.0,1.0,False,False,0.9157976962297858,0.08420230377021419,11,True
2018-01-23,0.004112484837158048,0.0,0.004112484837158048,1.662971133954695,0.0,0.0,0.0,0.0,1.0,False,False,0.916092446501916,0.08390755349808401,11,True
2018-01-24,0.0004279952655357281,0.0,0.0004279952655357281,1.6636828777267503,0.0,0.0,0.0,0.0,1.0,False,False,0.9161483794720127,0.08385162052798739,11,True
2018-01-25,0.0005461986675272142,0.0,0.0005461986675272142,1.6645915790977526,0.0,0.0,0.0,0.0,1.0,False,False,0.9162141794736043,0.08378582052639576,11,True
2018-01-26,0.002825367938380444,0.0,0.002825367938380444,1.6692946627758336,0.0,0.0,0.0,0.0,1.0,False,False,0.9165001650416214,0.08349983495837862,11,True
2018-01-29,-0.005589706321581827,0.0,-0.005589706321581827,1.6599637958467326,0.0,0.0,0.0,0.0,1.0,False,False,0.9160609192437946,0.08393908075620533,11,True
2018-01-30,-0.005741772383049528,0.0,-0.005741772383049528,1.6504326615668778,0.0,0.0,0.0,0.0,1.0,False,False,0.9155660782896358,0.0844339217103642,11,True
2018-01-31,0.0022649404513053655,0.0,0.0022649404513053655,1.6541707932642162,0.0,0.0,0.0,0.0,1.0,False,False,0.9157568839309645,0.08424311606903542,11,True
