variant,lever,evaluation_mode,assumption,validation_status,run_status,run_detail,ledger_reconciliation,start,end,years,cagr,annualized_volatility,sharpe,hac_sharpe,sortino,calmar,max_drawdown,max_drawdown_duration_sessions,episode_profit_factor_usd,episode_expectancy_bps_nav,annual_cost_drag,annual_fixed_cost_drag,annual_impact_cost_drag,annual_rebalance_turnover_contracts,annual_roll_turnover_contracts,roll_share_of_turnover,average_risk_scalar,average_markets_held,peak_gross_notional_multiple,peak_static_margin_fraction,portfolio_limit_binding_decision_days,peak_order_participation,peak_rebalance_participation,p999_rebalance_participation,delta_cagr,delta_sharpe,delta_annualized_volatility,delta_max_drawdown,delta_annual_cost_drag,delta_peak_gross_notional_multiple
shock_floor_0.50,shock_floor,as_is,Volatility-shock taper floor set to 0.5. Every other control unchanged.,retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.1329033399200461,0.07729240698235466,1.5985714144958378,1.500544180364873,2.4153127976878372,1.1197453268926225,-0.1186906850407341,459,1.8523988894237033,16.54518339737123,0.010468252965209037,0.009527472406294844,0.0009407805589141926,1842.4943945783132,3231.9760761226726,0.6369090321410833,0.7970942743095961,39.83397209872758,5.148062768003177,0.5219514564244806,24,0.01999375195251484,0.019863438857852266,0.018024939178976997,0.001008093062538462,0.009044752041195148,0.00010668130774282858,-0.000219460584818032,4.681666207901475e-05,0.03634586719747546
max_gross_notional_multiple_3.00,max_gross_notional_multiple,as_is,Gross-notional multiple limited to 3 of NAV. Every other control unchanged.,retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.11638303836458808,0.07282833257851495,1.49702968059386,1.3948881417381769,2.241477735869527,0.9572696050137542,-0.12157811942949537,467,1.964095040594689,14.647797803376482,0.009625980030937929,0.008888089910499627,0.0007378901204383016,1287.189778751369,2296.347205366922,0.6408046618589386,0.9496193618930643,38.44565384025755,3.2034068257350388,0.528545674736673,134,0.01999375195251484,0.0198226395409494,0.014207016307761016,-0.015512208492919566,-0.09249698186078259,-0.0043573930960968815,-0.0031068949735792994,-0.0007954562721920935,-1.9083100750706627
max_gross_notional_multiple_4.00,max_gross_notional_multiple,as_is,Gross-notional multiple limited to 4 of NAV. Every other control unchanged.,retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13008796189149296,0.07670372626480446,1.5788956767232323,1.4690015389438906,2.3868085685964284,1.1204532895725774,-0.11610297644903878,467,1.8770084208881948,16.271853424143927,0.01030335285720141,0.009413029399605559,0.0008903234575958532,1714.319480010953,3030.9926894852133,0.6387340982473297,0.8363157566837467,39.566610455311974,4.261800586428893,0.527725191352487,51,0.01999375195251484,0.019863438857852266,0.017975719959099357,-0.0018072849660146773,-0.010630985731410414,-0.0004819994098073793,0.0023682480068772938,-0.00011808344592861147,-0.8499163143768085
baseline_match_control_minus1.00tol,risk_match_control,risk_match_control,"No bound changed.  The canonical configuration re-run at risk budget 0.069547, which the match tolerance accepts, so this row's loss-shape delta is solver jitter and nothing else.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.1315352824815641,0.07678051106368093,1.5935072223007356,1.4925713336039994,2.405395292556564,1.130969015199555,-0.11630317074456298,467,1.839772121510989,16.308656224739195,0.010373757408580033,0.009449233555749406,0.0009245238528306262,1785.967817086528,3134.124690032859,0.6370052362832146,0.7956008701235532,39.78230875364096,5.192961116990446,0.5210591179015459,23,0.01999375195251484,0.019863438857852266,0.016683426237756222,-0.00035996437594354447,0.003980559846092913,-0.00040521461093090405,0.0021680537113530907,-4.7678894549988554e-05,0.08124421618474464
baseline_match_control_minus0.50tol,risk_match_control,risk_match_control,"No bound changed.  The canonical configuration re-run at risk budget 0.069773, which the match tolerance accepts, so this row's loss-shape delta is solver jitter and nothing else.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13199314987128874,0.0770335331712999,1.593600651691215,1.4952106930111726,2.4070480295956593,1.1253562505498649,-0.11729010240694449,467,1.8465285201487165,16.48692116346462,0.010399947514139644,0.00947086290974358,0.0009290846043960621,1803.1698187294633,3170.608935377875,0.6374648113890453,0.7960062860876018,39.829986202667484,5.202372840019173,0.5221676381617593,24,0.01999375195251484,0.019863438857852266,0.017320705080304605,9.790301378109767e-05,0.004073989236572206,-0.00015219250331192924,0.0011811220489715835,-2.1488788990378302e-05,0.09065593921347137
baseline_match_control_plus0.50tol,risk_match_control,risk_match_control,"No bound changed.  The canonical configuration re-run at risk budget 0.070227, which the match tolerance accepts, so this row's loss-shape delta is solver jitter and nothing else.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13332124183770966,0.07739066464694441,1.6012454554064,1.5021765396765587,2.4199803008292546,1.094796155851588,-0.12177722868784246,462,1.8503924739213586,16.577541813337167,0.010473704624464054,0.009531545909593282,0.000942158714870776,1845.3747297371303,3238.9368860898135,0.6370453132745313,0.7968156041797413,39.83857120956615,5.235096443966926,0.5281477186181257,24,0.01999375195251484,0.019863438857852266,0.017411047759432162,0.0014259949802020166,0.011718792951757262,0.0002049389723325773,-0.003306004231926396,5.226832133403171e-05,0.12337954316122435
baseline_match_control_plus1.00tol,risk_match_control,risk_match_control,"No bound changed.  The canonical configuration re-run at risk budget 0.070453, which the match tolerance accepts, so this row's loss-shape delta is solver jitter and nothing else.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13316286851180603,0.07763663241579771,1.5946779726583709,1.4943795571049128,2.4099697359677132,1.1018803184887755,-0.12085057358537665,466,1.8500324653497584,16.63077309154834,0.010500946196119416,0.009554960900332145,0.0009459852957872709,1851.9354931544358,3250.1381894852134,0.6370229815661338,0.797226302068591,39.83964433542848,5.226070583745695,0.5288662128281713,24,0.01999375195251484,0.019863438857852266,0.01750139043855972,0.0012676216542983898,0.0051513102037281655,0.0004509067411858775,-0.002379349129460584,7.950989298939441e-05,0.11435368293999382
baseline_risk_matched,baseline,risk_matched,"Canonical configuration: risk-scalar clip [0.25, 2], signal_cap 2, risk_managed_cap 2, shock_floor 0.75, gross-notional multiple 5.0. Risk budget rescaled to 0.070000 so realised annualised volatility returns to the incumbent's.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13189524685750764,0.07718572567461184,1.5895266624546427,1.4889016291562005,2.4014239410781735,1.1133104048113114,-0.11847122445591607,467,1.8498924837444668,16.497485683005603,0.010421436303130022,0.00948913025155786,0.000932306051572164,1808.2504099123767,3179.4099594742606,0.6374551841959624,0.7964111965450026,39.82032806990649,5.1117169008057015,0.5259920430451536,24,0.01999375195251484,0.019863438857852266,0.017411047759432162,0.0,0.0,0.0,0.0,0.0,0.0
risk_scalar_max1.00_min0.00_risk_matched,risk_scalar_bounds,risk_matched,"EWMA volatility-target multiplier clipped to [0, 1] with every other control unchanged. Risk budget rescaled to 0.072390 so realised annualised volatility returns to the incumbent's.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13121115762498525,0.07743320267770847,1.5771540832957598,1.4724599432224394,2.372944513681487,1.0813166285859344,-0.12134388222307602,464,1.853626396261424,16.315200651949066,0.010216371847415681,0.009311055247657048,0.0009053165997586324,1722.4004203176341,3119.4029769989047,0.6442646925167932,0.7591799524425221,39.79564617507282,5.1826890572752555,0.40474984842186096,21,0.01999375195251484,0.019863438857852266,0.016762322015335486,-0.0006840892325223891,-0.012372579158882901,0.00024747700309663,-0.0028726577671599474,-0.00020506445571434086,0.07097215646955402
risk_scalar_max1.00_min0.10_risk_matched,risk_scalar_bounds,risk_matched,"EWMA volatility-target multiplier clipped to [0.1, 1] with every other control unchanged. Risk budget rescaled to 0.072390 so realised annualised volatility returns to the incumbent's.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13121115762498525,0.07743320267770847,1.5771540832957598,1.4724599432224394,2.372944513681487,1.0813166285859344,-0.12134388222307602,464,1.853626396261424,16.315200651949066,0.010216371847415681,0.009311055247657048,0.0009053165997586324,1722.4004203176341,3119.4029769989047,0.6442646925167932,0.7591799524425221,39.79564617507282,5.1826890572752555,0.40474984842186096,21,0.01999375195251484,0.019863438857852266,0.016762322015335486,-0.0006840892325223891,-0.012372579158882901,0.00024747700309663,-0.0028726577671599474,-0.00020506445571434086,0.07097215646955402
