variant,lever,evaluation_mode,bound_setting,validation_status,risk_budget_volatility,reference_annualized_volatility,annualized_volatility_gap_to_reference,solver_engine_runs,start,end,years,annualized_volatility,cagr,sharpe,hac_sharpe,sortino,calmar,max_drawdown,max_drawdown_duration_sessions,max_drawdown_over_annualized_volatility,ulcer_index,pain_index,worst_rolling_21_sessions,worst_rolling_63_sessions,conditional_shortfall_95,conditional_shortfall_99,annualized_downside_deviation,daily_return_skew,daily_return_excess_kurtosis,average_risk_scalar,peak_risk_scalar,trough_risk_scalar,average_gross_notional_multiple,peak_gross_notional_multiple,portfolio_limit_binding_decision_days,annual_cost_drag,annual_rebalance_turnover_contracts,annual_roll_turnover_contracts,delta_annualized_volatility,delta_cagr,delta_sharpe,delta_max_drawdown,max_drawdown_resolution_floor,delta_max_drawdown_status,delta_max_drawdown_over_annualized_volatility,max_drawdown_over_annualized_volatility_resolution_floor,delta_max_drawdown_over_annualized_volatility_status,delta_ulcer_index,ulcer_index_resolution_floor,delta_ulcer_index_status,delta_annual_cost_drag
risk_scalar_max2.00_min0.10,risk_scalar_bounds,as_is,max_risk_scalar=2; min_risk_scalar=0.1,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.0,0,1990-01-01,2014-12-31,25.005304694826044,0.07718572567461184,0.13189524685750764,1.5895266624546427,1.4889016291562005,2.4014239410781735,1.1133104048113114,-0.11847122445591607,467.0,1.534885154223328,0.032447157787957974,0.023629113182976808,-0.07047010848519797,-0.08947205111040102,0.010542864218217199,0.01493541092519548,0.051090008233040884,0.0054576463146503345,2.294128642802824,0.7964111965450026,1.8457955875216576,0.2940910774860579,2.637926709442167,5.1117169008057015,24.0,0.010421436303130022,1808.2504099123767,3179.4099594742606,0.0,0.0,0.0,,,not_estimable,,,not_estimable,,,not_estimable,0.0
signal_cap_1.00,signal_cap,as_is,signal_cap=1,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.0003093397573339235,0,1990-01-01,2014-12-31,25.005304694826044,0.07687638591727791,0.13384817584605635,1.6172869434075645,1.5016601886482266,2.4512142626979774,1.0684803098199118,-0.12526967003127643,471.0,1.6294947861632263,0.032138079600941984,0.023392575901503423,-0.07163833230386862,-0.07781781955331002,0.010498408846126947,0.014945913619572324,0.0507222796033861,-0.011483521160186272,1.9397125206063102,0.8299111971767744,1.9823029360482294,0.3087839998647049,2.5283563781452325,5.149248038451194,22.0,0.010258346896187077,1976.22995618839,3317.5060284775464,-0.0003093397573339235,0.0019529289885487078,0.027760280952921823,,0.019173582671261142,not_estimable,,0.2485980643585192,not_estimable,,0.0033557221008894086,not_estimable,-0.00016308940694294456
signal_cap_1.50,signal_cap,as_is,signal_cap=1.5,retrospective_bound_sensitivity,0.07,0.07718572567461184,5.906536566370468e-05,0,1990-01-01,2014-12-31,25.005304694826044,0.07724479104027554,0.13456450788290852,1.6178401801551272,1.501746223381212,2.45321291677228,1.0398890866542145,-0.12940275036048543,467.0,1.6752294700753951,0.032813117962428445,0.023861761793020003,-0.07001926216859089,-0.08361827612904493,0.010481707729553232,0.014936729607535964,0.05094124761786622,0.011959924903147023,2.1183671158413215,0.8137233688549306,1.9497139424654675,0.3032108995886329,2.591049291513586,5.200957675580182,23.0,0.01037440240043238,1927.2642584884993,3316.785944687842,5.906536566370468e-05,0.002669261025400882,0.028313517700484514,,0.013758246285527978,not_estimable,,0.17748334642051183,not_estimable,,0.002092575350336681,not_estimable,-4.7033902697642474e-05
risk_managed_cap_1.00,risk_managed_cap,as_is,risk_managed_cap=1,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.0004946584545225813,0,1990-01-01,2014-12-31,25.005304694826044,0.07768038412913442,0.12824147922335616,1.539661865599239,1.4386257795809025,2.33033304947281,1.1505542282768815,-0.11146061269568841,507.0,1.434861760086026,0.03302351244799057,0.024667378798598212,-0.06498572257425916,-0.07380944868049455,0.010565765653639494,0.015395356608893638,0.05132379046668286,0.08468936594918487,3.4320071995447075,0.9392261485309263,2.0,0.35920300335414773,2.5330369837509275,5.108994468872004,15.0,0.010039999640219077,1702.558111445783,3000.349123767798,0.0004946584545225813,-0.0036537676341514835,-0.04986479685540379,,0.023080311783954383,not_estimable,,0.2960792725531728,not_estimable,,0.004334279956156586,not_estimable,-0.0003814366629109455
risk_managed_cap_1.50,risk_managed_cap,as_is,risk_managed_cap=1.5,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.0002931788599912083,0,1990-01-01,2014-12-31,25.005304694826044,0.07747890453460304,0.1320028276766394,1.584988639121279,1.4769936933994652,2.3957316576310235,1.0828671849747609,-0.1219012169804703,471.0,1.5733471931837613,0.033313671072839085,0.024466193929448873,-0.06804472012952023,-0.07995791715290768,0.010577597634720397,0.015113886389002965,0.051259156286451425,0.016064247572624753,2.4487554859341003,0.8315574239852168,1.9479337675976043,0.3071762996042434,2.6164279677192024,5.2015701871109865,21.0,0.01029766675927333,1824.4522951807228,3189.0110766703174,0.0002931788599912083,0.00010758081913175843,-0.004538023333363617,,0.012166159307524127,not_estimable,,0.15681734793192087,not_estimable,,0.0020242513528527725,not_estimable,-0.0001237695438566916
shock_floor_0.25,shock_floor,as_is,shock_floor=0.25,retrospective_bound_sensitivity,0.07,0.07718572567461184,9.478026449324939e-05,0,1990-01-01,2014-12-31,25.005304694826044,0.07728050593910508,0.13408749428931221,1.6118705645023883,1.5122675632007903,2.4368327029217993,1.1742401173493988,-0.11419086463506856,459.0,1.477615386279275,0.03160500712538314,0.023000538103650988,-0.06999719239253654,-0.08905545097321699,0.010541321479784961,0.014903757774805411,0.05111806509480062,0.0005076769943268765,2.258459413863598,0.7977739421760605,1.8437473111438007,0.29406752167467676,2.644516379540947,5.206420638029952,24.0,0.010482614057061692,1889.9799200438115,3294.543356516977,9.478026449324939e-05,0.0021922474318045726,0.022343902047745612,,0.005928892478756697,not_estimable,,0.07695111772355456,not_estimable,,0.0011113438856858984,not_estimable,6.117775393166963e-05
shock_floor_0.50,shock_floor,as_is,shock_floor=0.5,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.00010668130774282858,0,1990-01-01,2014-12-31,25.005304694826044,0.07729240698235466,0.1329033399200461,1.5985714144958378,1.500544180364873,2.4153127976878372,1.1197453268926225,-0.1186906850407341,459.0,1.535606014544616,0.03210979459623956,0.02332481942578325,-0.07070930135081754,-0.0896096403470622,0.01056115167762345,0.014944728906095054,0.051155872017012195,-9.02575941419918e-05,2.2508138293477193,0.7970942743095961,1.8437918300088103,0.29407855144286627,2.6435425190021555,5.148062768003177,24.0,0.010468252965209037,1842.4943945783132,3231.9760761226726,0.00010668130774282858,0.001008093062538462,0.009044752041195148,,0.004218466592695108,not_estimable,,0.054458556032914114,not_estimable,,0.0007761944138190161,not_estimable,4.681666207901475e-05
max_gross_notional_multiple_3.00,max_gross_notional_multiple,as_is,max_gross_notional_multiple=3,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.0043573930960968815,0,1990-01-01,2014-12-31,25.005304694826044,0.07282833257851495,0.11638303836458808,1.49702968059386,1.3948881417381769,2.241477735869527,0.9572696050137542,-0.12157811942949537,467.0,1.6693794176658394,0.032043048584544,0.022920610462629394,-0.07719556738765632,-0.08521419487399318,0.010186015455767045,0.015030864559626229,0.04864031157369653,-0.03875054369068505,2.8812115996173917,0.9496193618930643,2.0,0.3522216537284581,2.3318288422725213,3.2034068257350388,134.0,0.009625980030937929,1287.189778751369,2296.347205366922,-0.0043573930960968815,-0.015512208492919566,-0.09249698186078259,,0.022732808307528267,not_estimable,,0.30436872429862283,not_estimable,,0.0044351359165250345,not_estimable,-0.0007954562721920935
max_gross_notional_multiple_4.00,max_gross_notional_multiple,as_is,max_gross_notional_multiple=4,retrospective_bound_sensitivity,0.07,0.07718572567461184,-0.0004819994098073793,0,1990-01-01,2014-12-31,25.005304694826044,0.07670372626480446,0.13008796189149296,1.5788956767232323,1.4690015389438906,2.3868085685964284,1.1204532895725774,-0.11610297644903878,467.0,1.513654969619288,0.03232066574369381,0.023382268236938227,-0.07023885948520003,-0.08976293961925463,0.01051012211787975,0.014967183109403787,0.050740215776617366,0.021242714365250857,2.375759153076908,0.8363157566837467,2.0,0.2940911512189131,2.568635459602062,4.261800586428893,51.0,0.01030335285720141,1714.319480010953,3030.9926894852133,-0.0004819994098073793,-0.0018072849660146773,-0.010630985731410414,,0.013013523968657615,not_estimable,,0.16768382758191647,not_estimable,,0.0023014325863662116,not_estimable,-0.00011808344592861147
baseline_match_control_minus1.00tol,risk_match_control,risk_match_control,target_vol=0.0695465,retrospective_bound_sensitivity,0.06954654828086287,0.07718572567461184,-0.00040521461093090405,0,1990-01-01,2014-12-31,25.005304694826044,0.07678051106368093,0.1315352824815641,1.5935072223007356,1.4925713336039994,2.405395292556564,1.130969015199555,-0.11630317074456298,467.0,1.5147485883247427,0.03228928255628869,0.023518225340762575,-0.0698299637976646,-0.08968692451849047,0.010521595947335921,0.014882493393957584,0.050864944855644745,-0.006250851297805845,2.2699486603727994,0.7956008701235532,1.8436598702348515,0.2941289334158346,2.6270346539368137,5.192961116990446,23.0,0.010373757408580033,1785.967817086528,3134.124690032859,-0.00040521461093090405,-0.00035996437594354447,0.003980559846092913,,0.003610391858624352,not_estimable,,0.04662281382093498,not_estimable,,0.0006541059051237046,not_estimable,-4.7678894549988554e-05
baseline_match_control_minus0.50tol,risk_match_control,risk_match_control,target_vol=0.0697733,retrospective_bound_sensitivity,0.06977327414043144,0.07718572567461184,-0.00015219250331192924,0,1990-01-01,2014-12-31,25.005304694826044,0.0770335331712999,0.13199314987128874,1.593600651691215,1.4952106930111726,2.4070480295956593,1.1253562505498649,-0.11729010240694449,467.0,1.5225850039375166,0.03234864645048704,0.023527996081213167,-0.0697738296965652,-0.0897495559653757,0.010528478120978402,0.014902117744611443,0.051000514802557524,-0.0007645059365804423,2.244678694196076,0.7960062860876018,1.8437475996530477,0.29411001301323036,2.6346502637035343,5.202372840019173,24.0,0.010399947514139644,1803.1698187294633,3170.608935377875,-0.00015219250331192924,9.790301378109767e-05,0.004073989236572206,,0.0024464781993184664,not_estimable,,0.03163249078396542,not_estimable,,0.0004614953963397582,not_estimable,-2.1488788990378302e-05
baseline_match_control_plus0.50tol,risk_match_control,risk_match_control,target_vol=0.0702267,retrospective_bound_sensitivity,0.07022672585956857,0.07718572567461184,0.0002049389723325773,0,1990-01-01,2014-12-31,25.005304694826044,0.07739066464694441,0.13332124183770966,1.6012454554064,1.5021765396765587,2.4199803008292546,1.094796155851588,-0.12177722868784246,462.0,1.5735389952184697,0.03241707407731831,0.023580169647503185,-0.0709932318192279,-0.08917961934949492,0.01056583735273299,0.014971193612528617,0.05120762760520667,0.002038378227548723,2.2654014264185873,0.7968156041797413,1.8517740059764964,0.29407212682774925,2.6454998884538052,5.235096443966926,24.0,0.010473704624464054,1845.3747297371303,3238.9368860898135,0.0002049389723325773,0.0014259949802020166,0.011718792951757262,,0.0038383569145372907,not_estimable,,0.04966726794749348,not_estimable,,0.0006662271563803469,not_estimable,5.226832133403171e-05
baseline_match_control_plus1.00tol,risk_match_control,risk_match_control,target_vol=0.0704535,retrospective_bound_sensitivity,0.07045345171913714,0.07718572567461184,0.0004509067411858775,0,1990-01-01,2014-12-31,25.005304694826044,0.07763663241579771,0.13316286851180603,1.5946779726583709,1.4943795571049128,2.4099697359677132,1.1018803184887755,-0.12085057358537665,466.0,1.5566179241023552,0.03255209297900071,0.023678633334009627,-0.0707958982162934,-0.08927584212006157,0.010592667787477158,0.015020102180931392,0.05137219183175091,0.003173782937310611,2.262081192953879,0.797226302068591,1.8577524243910235,0.2940531610325565,2.6529704367047304,5.226070583745695,24.0,0.010500946196119416,1851.9354931544358,3250.1381894852134,0.0004509067411858775,0.0012676216542983898,0.0051513102037281655,,0.0038043445270348666,not_estimable,,0.048938913215912164,not_estimable,,0.0006761119043769559,not_estimable,7.950989298939441e-05
baseline_risk_matched,baseline,risk_matched,target_vol=0.07,retrospective_bound_sensitivity,0.07,0.07718572567461184,0.0,1,1990-01-01,2014-12-31,25.005304694826044,0.07718572567461184,0.13189524685750764,1.5895266624546427,1.4889016291562005,2.4014239410781735,1.1133104048113114,-0.11847122445591607,467.0,1.534885154223328,0.032447157787957974,0.023629113182976808,-0.07047010848519797,-0.08947205111040102,0.010542864218217199,0.01493541092519548,0.051090008233040884,0.0054576463146503345,2.294128642802824,0.7964111965450026,1.8457955875216576,0.2940910774860579,2.637926709442167,5.1117169008057015,24.0,0.010421436303130022,1808.2504099123767,3179.4099594742606,0.0,0.0,0.0,,0.005474057943279487,not_estimable,,0.058790406893727054,not_estimable,,0.0002628104227120204,not_estimable,0.0
risk_scalar_max1.00_min0.00_risk_matched,risk_scalar_bounds,risk_matched,max_risk_scalar=1; min_risk_scalar=0; target_vol=0.0723899,retrospective_bound_sensitivity,0.07238990486911118,0.07718572567461184,0.00024747700309663,1,1990-01-01,2014-12-31,25.005304694826044,0.07743320267770847,0.13121115762498525,1.5771540832957598,1.4724599432224394,2.372944513681487,1.0813166285859344,-0.12134388222307602,464.0,1.567078178699802,0.03355205726795023,0.024486252294611356,-0.07263576950777328,-0.0890032233719843,0.010623171249222466,0.015166156090566102,0.05146521171552702,-0.04582335346558543,1.879674201952085,0.7591799524425221,1.0,0.29389055749588033,2.6526954390498427,5.1826890572752555,21.0,0.010216371847415681,1722.4004203176341,3119.4029769989047,0.00024747700309663,-0.0006840892325223891,-0.012372579158882901,,0.009692521732498308,not_estimable,,0.12471026834513171,not_estimable,,0.0018776783795143497,not_estimable,-0.00020506445571434086
risk_scalar_max1.00_min0.10_risk_matched,risk_scalar_bounds,risk_matched,max_risk_scalar=1; min_risk_scalar=0.1; target_vol=0.0723899,retrospective_bound_sensitivity,0.07238990486911118,0.07718572567461184,0.00024747700309663,1,1990-01-01,2014-12-31,25.005304694826044,0.07743320267770847,0.13121115762498525,1.5771540832957598,1.4724599432224394,2.372944513681487,1.0813166285859344,-0.12134388222307602,464.0,1.567078178699802,0.03355205726795023,0.024486252294611356,-0.07263576950777328,-0.0890032233719843,0.010623171249222466,0.015166156090566102,0.05146521171552702,-0.04582335346558543,1.879674201952085,0.7591799524425221,1.0,0.29389055749588033,2.6526954390498427,5.1826890572752555,21.0,0.010216371847415681,1722.4004203176341,3119.4029769989047,0.00024747700309663,-0.0006840892325223891,-0.012372579158882901,,0.009692521732498308,not_estimable,,0.12471026834513171,not_estimable,,0.0018776783795143497,not_estimable,-0.00020506445571434086
risk_scalar_max1.00_min0.25_risk_matched,risk_scalar_bounds,risk_matched,max_risk_scalar=1; min_risk_scalar=0.25; target_vol=0.0723899,retrospective_bound_sensitivity,0.07238990486911118,0.07718572567461184,0.00024747700309663,1,1990-01-01,2014-12-31,25.005304694826044,0.07743320267770847,0.13121115762498525,1.5771540832957598,1.4724599432224394,2.372944513681487,1.0813166285859344,-0.12134388222307602,464.0,1.567078178699802,0.03355205726795023,0.024486252294611356,-0.07263576950777328,-0.0890032233719843,0.010623171249222466,0.015166156090566102,0.05146521171552702,-0.04582335346558543,1.879674201952085,0.7591799524425221,1.0,0.29389055749588033,2.6526954390498427,5.1826890572752555,21.0,0.010216371847415681,1722.4004203176341,3119.4029769989047,0.00024747700309663,-0.0006840892325223891,-0.012372579158882901,,0.009692521732498308,not_estimable,,0.12471026834513171,not_estimable,,0.0018776783795143497,not_estimable,-0.00020506445571434086
risk_scalar_max1.25_min0.00_risk_matched,risk_scalar_bounds,risk_matched,max_risk_scalar=1.25; min_risk_scalar=0; target_vol=0.0702707,retrospective_bound_sensitivity,0.07027066927484116,0.07718572567461184,-9.915172505321757e-05,1,1990-01-01,2014-12-31,25.005304694826044,0.07708657394955862,0.1322485187212019,1.5953870903510508,1.4976012131789456,2.40723883818445,1.0967945611155614,-0.12057729260317496,471.0,1.5641801992922189,0.03267977366551719,0.023750172909315685,-0.07089421877428348,-0.08898025487411498,0.010541667835145882,0.015007349739354242,0.051088792257635594,-0.016593122014727762,2.1354216764287717,0.7867505638590753,1.25,0.2940684521094939,2.6386000114986277,5.118087610303986,23.0,0.010381666370064614,1802.1296976998904,3186.450778751369,-9.915172505321757e-05,0.0003532718636942711,0.00586042789640806,,0.005474057943279487,not_estimable,,0.05907715693314179,not_estimable,,0.0008867963512250074,not_estimable,-3.9769933065408186e-05
risk_scalar_max1.25_min0.10_risk_matched,risk_scalar_bounds,risk_matched,max_risk_scalar=1.25; min_risk_scalar=0.1; target_vol=0.0702707,retrospective_bound_sensitivity,0.07027066927484116,0.07718572567461184,-9.915172505321757e-05,1,1990-01-01,2014-12-31,25.005304694826044,0.07708657394955862,0.1322485187212019,1.5953870903510508,1.4976012131789456,2.40723883818445,1.0967945611155614,-0.12057729260317496,471.0,1.5641801992922189,0.03267977366551719,0.023750172909315685,-0.07089421877428348,-0.08898025487411498,0.010541667835145882,0.015007349739354242,0.051088792257635594,-0.016593122014727762,2.1354216764287717,0.7867505638590753,1.25,0.2940684521094939,2.6386000114986277,5.118087610303986,23.0,0.010381666370064614,1802.1296976998904,3186.450778751369,-9.915172505321757e-05,0.0003532718636942711,0.00586042789640806,,0.005474057943279487,not_estimable,,0.05907715693314179,not_estimable,,0.0008867963512250074,not_estimable,-3.9769933065408186e-05
