Episode,Symbol,Contribution
1992-01-09 to 1992-03-13,ZS,-0.0025303318369977257
1992-01-09 to 1992-03-13,CL,-0.002146736141316161
1992-01-09 to 1992-03-13,HE,-0.0012483349327743146
1992-01-09 to 1992-03-13,SI,-0.0009406276371229735
1992-01-09 to 1992-03-13,ZM,-0.0005124686425918767
1992-01-09 to 1992-03-13,LFT,0.0
1992-01-09 to 1992-03-13,NQ,0.0
1992-01-09 to 1992-03-13,6A,0.0
1992-01-09 to 1992-03-13,PL,0.0
1992-01-09 to 1992-03-13,RB,0.0
1992-01-09 to 1992-03-13,RS,0.0
1992-01-09 to 1992-03-13,RTY,0.0
1992-01-09 to 1992-03-13,SXF,0.0
1992-01-09 to 1992-03-13,YM,0.0
1992-01-09 to 1992-03-13,PA,0.0
1992-01-09 to 1992-03-13,SJB,0.0
1992-01-09 to 1992-03-13,HTW,0.0
1992-01-09 to 1992-03-13,FCE,0.0
1992-01-09 to 1992-03-13,CGB,0.0
1992-01-09 to 1992-03-13,6S,0.0
1992-01-09 to 1992-03-13,FDAX,0.0
1992-01-09 to 1992-03-13,FESX,0.0
1992-01-09 to 1992-03-13,FGBL,0.0
1992-01-09 to 1992-03-13,FGBM,0.0
1992-01-09 to 1992-03-13,ES,0.0
1992-01-09 to 1992-03-13,FGBS,0.0
1992-01-09 to 1992-03-13,FSMI,0.0
1992-01-09 to 1992-03-13,6N,0.0
1992-01-09 to 1992-03-13,6M,0.0
1992-01-09 to 1992-03-13,6E,0.0
1992-01-09 to 1992-03-13,FGBX,0.0
1992-01-09 to 1992-03-13,EMD,0.0
1992-01-09 to 1992-03-13,6B,4.8107437055412835e-05
1992-01-09 to 1992-03-13,GC,0.0005158994141357679
1992-01-09 to 1992-03-13,ZW,0.0013698025817092717
1992-01-09 to 1992-03-13,KE,0.0016416881140979087
1992-01-09 to 1992-03-13,NG,0.003525287844745015
1992-01-09 to 1992-03-13,GAS,0.004145874475366207
1992-01-09 to 1992-03-13,GF,0.004809124046950558
1992-01-09 to 1992-03-13,NKD,0.005018281719980744
1992-01-09 to 1992-03-13,SNK,0.006293293937869483
1992-01-09 to 1992-03-13,CC,0.007554107307369359
1992-01-09 to 1992-03-13,KC,0.007827961548852902
1992-01-09 to 1992-03-13,CT,0.009659916909942228
2007-06-21 to 2007-08-16,6J,-0.008304146550553119
2007-06-21 to 2007-08-16,FGBS,-0.007313742178568563
2007-06-21 to 2007-08-16,ZT,-0.0062932208754400715
2007-06-21 to 2007-08-16,FGBM,-0.005877847930533886
2007-06-21 to 2007-08-16,LLG,-0.00529646016519632
2007-06-21 to 2007-08-16,FGBX,-0.004916066630340776
2007-06-21 to 2007-08-16,FGBL,-0.004906287781500323
2007-06-21 to 2007-08-16,6S,-0.004389122077555443
2007-06-21 to 2007-08-16,ZC,-0.0035513402766295305
2007-06-21 to 2007-08-16,6N,-0.0032514985073916454
