date,base_gross_return,base_cost_return,base_net_return,prior_overlay_nav,prior_overlay_peak_nav,prior_overlay_drawdown_fraction,exposure_multiplier,desired_multiplier_after_close,decision_multiplier_after_close,overlay_adjustment_turnover_multiple,overlay_adjustment_cost_return,scaled_base_cost_return,overlay_net_return,overlay_nav,overlay_drawdown_fraction
1997-12-02,0.0009148122833782414,0.0,0.0009148122833782414,2.7734188027956574,2.7734188027956574,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0009148122833782414,2.7759559603834068,0.0
1997-12-03,0.0023213715555736635,0.0,0.0023213715555736635,2.7759559603834068,2.7759559603834068,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0023213715555736635,2.782399985589366,0.0
1997-12-04,0.005836893860146625,0.0,0.005836893860146625,2.782399985589366,2.782399985589366,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.005836893860146625,2.7986405589817243,0.0
1997-12-05,-0.0012683683278072947,0.0,-0.0012683683278072947,2.7986405589817243,2.7986405589817243,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0012683683278072947,2.795090851935795,0.001268368327807301
1997-12-08,-0.0017626335628794683,5.204579413356345e-05,-0.0018146793570130318,2.795090851935795,2.7986405589817243,0.001268368327807301,1.0,1.0,1.0,0.0,0.0,5.204579413356345e-05,-0.0018146793570130318,2.790018658265811,0.003080746002998791
1997-12-09,0.0014302149780022408,0.0,0.0014302149780022408,2.790018658265811,2.7986405589817243,0.003080746002998791,1.0,1.0,1.0,0.0,0.0,0.0,0.0014302149780022408,2.7940089847397687,0.0016549371540733882
1997-12-10,0.007503963092791928,0.0,0.007503963092791928,2.7940089847397687,2.7986405589817243,0.0016549371540733882,1.0,1.0,1.0,0.0,0.0,0.0,0.007503963092791928,2.814975125042185,0.0
1997-12-11,-0.0007761120303093927,0.00012741496357412442,-0.0009035269938835171,2.814975125042185,2.814975125042185,0.0,1.0,1.0,1.0,0.0,0.0,0.00012741496357412442,-0.0009035269938835171,2.8124317190295987,0.0009035269938835189
1997-12-12,-0.00014789620634005584,5.211717103479064e-05,-0.00020001337737484648,2.8124317190295987,2.814975125042185,0.0009035269938835189,1.0,1.0,1.0,0.0,0.0,5.211717103479064e-05,-0.00020001337737484648,2.8118691950628394,0.0011033596537728396
1997-12-15,-0.0028555870290600154,0.00011018048165913881,-0.0029657675107191543,2.8118691950628394,2.814975125042185,0.0011033596537728396,1.0,1.0,1.0,0.0,0.0,0.00011018048165913881,-0.0029657675107191543,2.80352984475973,0.004065854856278195
1997-12-16,0.003299722356770277,6.696004846971203e-05,0.003232762308300565,2.80352984475973,2.814975125042185,0.004065854856278195,1.0,1.0,1.0,0.0,0.0,6.696004846971203e-05,0.003232762308300565,2.812592990372065,0.0008462364903081276
1997-12-17,-0.00461297767142159,0.0,-0.00461297767142159,2.812592990372065,2.814975125042185,0.0008462364903081276,1.0,1.0,1.0,0.0,0.0,0.0,-0.00461297767142159,2.7996185617086815,0.00545531049169512
1997-12-18,0.005526145809487254,0.0,0.005526145809487254,2.7996185617086815,2.814975125042185,0.00545531049169512,1.0,1.0,1.0,0.0,0.0,0.0,0.005526145809487254,2.815089662091631,0.0
1997-12-19,0.005005650679159522,4.875391747779691e-05,0.004956896761681725,2.815089662091631,2.815089662091631,0.0,1.0,1.0,1.0,0.0,0.0,4.875391747779691e-05,0.004956896761681725,2.829043770921497,0.0
1997-12-22,0.004838174545051498,0.0,0.004838174545051498,2.829043770921497,2.829043770921497,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.004838174545051498,2.8427311784808054,0.0
1997-12-23,0.0033787800429054926,0.0,0.0033787800429054926,2.8427311784808054,2.8427311784808054,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0033787800429054926,2.8523361418540016,0.0
1997-12-24,0.0024370784178956387,0.0,0.0024370784178956387,2.8523361418540016,2.8523361418540016,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0024370784178956387,2.8592875087058975,0.0
1997-12-25,-0.00027601645547483544,0.0,-0.00027601645547483544,2.8592875087058975,2.8592875087058975,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.00027601645547483544,2.8584982983025613,0.00027601645547470355
1997-12-26,0.0036480123946182877,0.0,0.0036480123946182877,2.8584982983025613,2.8592875087058975,0.00027601645547470355,1.0,1.0,1.0,0.0,0.0,0.0,0.0036480123946182877,2.8689261355247644,0.0
1997-12-29,0.0070835215140896265,1.6067779107348502e-05,0.007067453734982278,2.8689261355247644,2.8689261355247644,0.0,1.0,1.0,1.0,0.0,0.0,1.6067779107348502e-05,0.007067453734982278,2.889202138256667,0.0
1997-12-30,-0.00313388083986635,0.0,-0.00313388083986635,2.889202138256667,2.889202138256667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.00313388083986635,2.8801477230330836,0.003133880839866321
1997-12-31,0.001959999326603163,0.00044040098811710206,0.0015195983384860608,2.8801477230330836,2.889202138256667,0.003133880839866321,1.0,1.0,1.0,0.0,0.0,0.00044040098811710206,0.0015195983384860608,2.8845243907275995,0.001619044741497433
1998-01-01,0.0,0.0,0.0,2.8845243907275995,2.889202138256667,0.001619044741497433,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.8845243907275995,0.001619044741497433
1998-01-02,-0.0010922586689442488,0.000697158512268755,-0.0017894171812130038,2.8845243907275995,2.889202138256667,0.001619044741497433,1.0,1.0,1.0,0.0,0.0,0.000697158512268755,-0.0017894171812130038,2.8793627732232037,0.0034055647762327723
1998-01-05,0.02583333559880539,8.568421923653915e-05,0.025747651379568852,2.8793627732232037,2.889202138256667,0.0034055647762327723,1.0,1.0,1.0,0.0,0.0,8.568421923653915e-05,0.025747651379568852,2.9534996021034634,0.0
1998-01-06,0.006002534733370263,0.0,0.006002534733370263,2.9534996021034634,2.9534996021034634,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.006002534733370263,2.971228086050085,0.0
