decision_date,EMD,ES,FCE,FDAX,FESX,FSMI,HTW,LFT,NKD,NQ,RTY,SNK,SXF,YAP,YM,CGB,FGBL,FGBM,FGBS,FGBX,LLG,SJB,YXT,YYT,ZT,ZF,ZN,ZB,6A,6B,6C,6E,6J,6M,6N,6S,BRN,CL,GAS,HO,NG,RB,GC,HG,PA,PL,SI,CC,CT,GF,HE,KC,KE,LE,RS,SB,ZC,ZL,ZM,ZS,ZW
2005-07-29,0.0,0.0,2.5559913265696045e-06,6.285322998593697e-07,4.69258862508127e-06,3.167241782554076e-06,4.413735249937775e-07,0.0,2.2353030672216e-06,0.0,0.0,3.127715208200164e-06,6.25689334246021e-07,0.0,0.0,1.1340520652780914e-06,2.080758148601926e-06,1.0995278430056087e-06,3.173127388410786e-06,0.0,6.636672854739297e-07,1.3984828012800323e-06,2.1917319071129237e-07,5.782362138061582e-07,-6.621577018143642e-06,-4.256979028969399e-06,0.0,0.0,8.692528985530645e-07,-1.482103850196384e-06,0.0,-1.208844917461781e-06,-1.3455862651730873e-06,6.385905222899478e-06,0.0,-1.9640476445945907e-06,0.0,0.0,3.3735889523349163e-07,5.679853188306539e-07,-5.723864071461415e-07,0.0,0.0,2.0792145488206273e-06,0.0,0.0,0.0,-4.238781321102418e-06,2.3343189133518653e-06,1.8342231700904666e-06,0.0,0.0,3.7414990125905284e-06,-4.724099286582477e-06,-1.4046570874014536e-05,9.856852717349404e-06,-2.500148133325366e-06,5.565062189394998e-07,0.0,2.1580423796722026e-07,-2.933162650616479e-06
2005-08-31,0.0,0.0,2.5559913265696045e-06,0.0,2.9353040438423794e-06,3.167241782554076e-06,1.1822722913946363e-06,0.0,2.2353030672216e-06,0.0,0.0,0.0,6.25689334246021e-07,0.0,0.0,1.1340520652780914e-06,0.0,0.0,5.971519262265784e-07,0.0,6.636672854739297e-07,1.3984828012800323e-06,2.8642065936679788e-06,3.162445388511244e-06,-6.621577018143642e-06,-5.692842606289964e-06,1.0603108485587407e-07,0.0,0.0,0.0,0.0,0.0,-1.8743901240114698e-06,2.927586704744965e-06,0.0,-1.9640476445945907e-06,0.0,0.0,6.859535723093781e-08,5.679853188306539e-07,4.079564090065657e-08,0.0,0.0,2.0792145488206273e-06,0.0,0.0,0.0,-6.538936457660362e-06,3.2202170349719354e-06,1.8342231700904666e-06,4.345171524091561e-06,4.93926883638656e-07,5.474354851203402e-06,4.394906408492812e-07,-1.4046570874014536e-05,9.856852717349404e-06,-5.926007033330127e-06,-5.229285060330833e-06,0.0,-2.02961889967347e-06,-5.367421599785493e-06
2005-09-30,0.0,0.0,2.5559913265696045e-06,4.767781814022108e-07,3.958098882987954e-06,3.167241782554076e-06,1.7232501462935523e-06,6.580649356342052e-07,2.2353030672216e-06,0.0,0.0,2.1537372162267458e-06,4.4403681227574917e-07,1.7107109996731877e-06,0.0,1.1340520652780914e-06,2.580032597379137e-06,2.3939258202426666e-06,2.2857521665293047e-06,0.0,2.1746188537059528e-07,2.5798937697726967e-06,0.0,-1.300268402089653e-05,-6.621577018143642e-06,-5.692842606289964e-06,-3.938802587457166e-06,0.0,2.269764772204211e-07,1.2037946721875914e-07,0.0,-1.5833597426420724e-06,-1.8743901240114698e-06,5.15157154837388e-06,0.0,-1.9640476445945907e-06,0.0,0.0,0.0,3.2753143560883e-07,1.3221103709300786e-07,0.0,0.0,2.0792145488206273e-06,0.0,0.0,0.0,-4.499636319547747e-06,3.2202170349719354e-06,4.560666142713445e-07,4.345171524091561e-06,4.93926883638656e-07,5.474354851203402e-06,3.844042313677901e-06,-2.344899775362727e-05,6.089253249270526e-06,-5.926007033330127e-06,8.831629803177808e-07,0.0,7.032347690174936e-07,-5.367421599785493e-06
2005-10-31,0.0,0.0,1.2405009715895437e-06,3.169443136845961e-07,2.0145165793593834e-06,1.4701071212803554e-06,-2.834343851083915e-06,6.580649356342052e-07,9.129367996133584e-07,0.0,0.0,9.00561312799472e-07,4.4403681227574917e-07,8.840136896926677e-07,-2.14844975609193e-06,1.1340520652780914e-06,1.7637730524752658e-06,1.4714486661107472e-06,-1.2703805855334559e-05,0.0,0.0,1.7548754806815787e-06,0.0,0.0,-6.621577018143642e-06,-5.692842606289964e-06,-2.9406165499240363e-06,0.0,2.054464376785044e-08,-1.297577503491573e-06,0.0,-9.254345950470641e-07,-1.8743901240114698e-06,3.698356872902093e-06,0.0,-1.3412337653351588e-06,0.0,0.0,0.0,2.179807255907013e-07,1.3221103709300786e-07,0.0,0.0,1.244173722258181e-06,0.0,0.0,-1.8151249748533094e-06,-3.066389722513524e-06,1.5043213183721689e-06,2.3472593643744817e-06,-2.7545851320531557e-06,-9.599449618174908e-07,3.7402376133264534e-06,2.6081935248648444e-06,-2.344899775362727e-05,3.5950562413789863e-06,-5.926007033330127e-06,4.868514983064364e-07,0.0,4.997731344956083e-07,-3.8056169305500427e-06
2005-11-30,0.0,0.0,2.005279677278315e-06,0.0,2.7833188346731507e-06,2.754726526451659e-06,1.6806507843178506e-06,1.2243146391855387e-06,1.7137078824031324e-06,0.0,0.0,2.2272111109760745e-06,3.086786362430123e-07,8.840136896926677e-07,0.0,1.1340520652780914e-06,4.2589062008556153e-07,2.575620333102496e-06,-1.2703805855334559e-05,0.0,1.999021342618495e-06,7.662400724581755e-07,-4.122807367030591e-06,-1.3546551107234841e-05,-6.621577018143642e-06,-5.692842606289964e-06,-2.9406165499240363e-06,0.0,-2.8848550954551137e-06,-1.8302809904018478e-06,0.0,-1.252646210479564e-06,-1.8743901240114698e-06,2.6356818487537253e-06,0.0,-1.8803105840754491e-06,0.0,0.0,0.0,2.179807255907013e-07,2.567865162186053e-07,0.0,0.0,1.6878600711758945e-06,0.0,0.0,0.0,-4.928440113971314e-06,6.636106750963958e-07,7.166556459589083e-07,-2.7545851320531557e-06,-9.599449618174908e-07,3.7402376133264534e-06,4.123616297793893e-06,-2.344899775362727e-05,5.148951589003652e-06,-1.1315277568849862e-05,-5.600879301702624e-06,4.3583081112273654e-07,-2.5968197205454945e-06,-6.200609316989886e-06
2005-12-30,0.0,0.0,2.005279677278315e-06,1.5447819920168955e-07,3.7726724610775745e-06,2.754726526451659e-06,1.6806507843178506e-06,1.2243146391855387e-06,8.702375519029492e-07,0.0,0.0,1.2205119095455677e-06,0.0,2.2640464642725767e-06,-4.6009079735085225e-06,1.1340520652780914e-06,1.4749300263255498e-07,2.575620333102496e-06,-1.2703805855334559e-05,0.0,1.999021342618495e-06,1.886340322309875e-06,3.949876274587216e-07,-1.3546551107234841e-05,-9.112174200584611e-06,-5.692842606289964e-06,-4.3088138431573555e-06,0.0,-2.8848550954551137e-06,-1.8302809904018478e-06,0.0,-1.252646210479564e-06,-1.8743901240114698e-06,4.621233512021021e-06,0.0,-1.8803105840754491e-06,0.0,0.0,0.0,7.981255428996921e-08,1.9209496205837666e-07,0.0,0.0,1.6878600711758945e-06,0.0,0.0,0.0,-4.928440113971314e-06,1.7664914879426734e-06,1.83934588415657e-07,-4.847644537242699e-06,-1.6706139263545536e-06,6.042050331444987e-06,4.123616297793893e-06,-3.153461394706708e-05,5.148951589003652e-06,-1.1315277568849862e-05,2.813850691401469e-07,7.52254559254352e-07,4.102930819400737e-07,-6.200609316989886e-06
2006-01-31,0.0,0.0,2.005279677278315e-06,3.0705278801767884e-07,3.7726724610775745e-06,2.754726526451659e-06,1.6806507843178506e-06,1.2243146391855387e-06,5.672318287325064e-07,0.0,0.0,8.402910307894307e-07,0.0,2.2640464642725767e-06,-4.6009079735085225e-06,2.8118012996740604e-06,1.9995028761651984e-07,-5.234035385058452e-06,-1.2703805855334559e-05,0.0,1.999021342618495e-06,-4.743201759081927e-06,1.83567832375748e-07,2.0294708608476957e-06,-9.112174200584611e-06,-5.692842606289964e-06,-4.3088138431573555e-06,-2.4800610847456626e-06,-2.8848550954551137e-06,-1.8302809904018478e-06,0.0,-1.252646210479564e-06,-1.8743901240114698e-06,6.253053618368297e-06,0.0,-1.8803105840754491e-06,0.0,0.0,0.0,0.0,1.9209496205837666e-07,0.0,0.0,1.6878600711758945e-06,1.1594175453509021e-06,0.0,0.0,-4.928440113971314e-06,1.7664914879426734e-06,0.0,-3.520324328095241e-06,-1.6706139263545536e-06,6.042050331444987e-06,4.123616297793893e-06,-2.1434940354917017e-05,2.22642442936364e-06,-1.1315277568849862e-05,0.0,4.4204589662534627e-07,4.102930819400737e-07,-6.200609316989886e-06
2006-02-28,0.0,0.0,2.005279677278315e-06,0.0,3.7726724610775745e-06,2.754726526451659e-06,1.6806507843178506e-06,7.268086401978135e-07,3.8385230253295474e-07,0.0,0.0,2.1554944656819414e-07,0.0,1.4652725258228677e-06,0.0,0.0,0.0,0.0,-1.8993818529065436e-05,0.0,1.999021342618495e-06,-4.743201759081927e-06,7.263272967162342e-07,1.3457722143320402e-05,-9.112174200584611e-06,-8.416586841579853e-06,0.0,0.0,-2.8848550954551137e-06,-1.8302809904018478e-06,0.0,-1.7591669210509658e-06,-1.8743901240114698e-06,6.253053618368297e-06,0.0,-1.8803105840754491e-06,0.0,-1.0321341531261625e-06,-1.1874298146982906e-06,-8.461533424435478e-07,-2.0016323214477224e-07,0.0,0.0,1.1404333165413706e-06,4.79319855947722e-07,0.0,0.0,-4.928440113971314e-06,-3.105880752295779e-06,0.0,-3.520324328095241e-06,-1.6706139263545536e-06,2.0624380487538033e-06,4.123616297793893e-06,-2.8927627566906285e-05,1.6271198268004307e-06,-8.011539314282474e-06,-5.9490840563287505e-06,-4.599124526566834e-06,-3.0770126473966793e-06,-4.262361146764839e-06
2006-03-31,0.0,0.0,3.400586280261382e-06,0.0,3.7726724610775745e-06,2.754726526451659e-06,7.084764930946096e-07,2.2022774141638413e-06,1.2831404055159233e-06,0.0,0.0,1.7331632919156277e-06,0.0,2.3078179644781134e-06,0.0,0.0,-4.0174271320210424e-06,-6.8792193249677075e-06,-1.8993818529065436e-05,0.0,3.28806120189412e-06,-4.743201759081927e-06,0.0,7.237506206012449e-06,-9.112174200584611e-06,-8.416586841579853e-06,-5.325167665773312e-06,-3.2417128121716857e-06,-2.8848550954551137e-06,-2.8011037122900496e-06,0.0,-1.7591669210509658e-06,-1.8743901240114698e-06,3.5545140936003623e-06,0.0,-2.6943519635413154e-06,0.0,0.0,0.0,0.0,-3.363742900375463e-07,0.0,0.0,1.1404333165413706e-06,6.559465852011441e-07,0.0,0.0,-6.794456277689596e-06,-4.221980242558788e-06,4.1474102182434386e-07,-3.520324328095241e-06,-1.6706139263545536e-06,2.0624380487538033e-06,-6.359857317269821e-06,-4.5679077513612405e-05,2.7083664594590895e-06,-8.011539314282474e-06,-7.976404933044603e-06,-6.320965499146444e-06,-3.0770126473966793e-06,-4.262361146764839e-06
2006-04-28,0.0,0.0,2.072823259815488e-06,0.0,2.3197972294670296e-06,1.533236125833572e-06,0.0,1.3683142968903374e-06,8.883477723023543e-07,0.0,0.0,1.0472679469799118e-06,0.0,1.2501062959427595e-06,0.0,-3.647478669781766e-06,-2.75620894172479e-06,-4.766698560858797e-06,-1.421187673063778e-05,0.0,-1.8227673198903749e-06,-3.116757417544125e-06,-3.793501748432043e-06,-1.1587028592213286e-05,-5.856274543483857e-06,-5.20015299427616e-06,-3.498732523589951e-06,-2.1409289754730902e-06,-1.754166371679278e-06,-1.6096007073233757e-06,0.0,-1.1686250660312705e-06,-1.8743901240114698e-06,2.4449241164456362e-06,0.0,-1.4921677430170532e-06,0.0,0.0,0.0,0.0,-2.3406825943909822e-07,0.0,0.0,3.356381809334052e-07,4.654602974883951e-07,0.0,1.19838626110327e-07,-2.4012288095376713e-06,-2.6988779107066756e-06,-2.0852637138536865e-06,-3.520324328095241e-06,-1.0991744737275344e-06,6.786993721141904e-07,-2.166293174193008e-06,-2.94356368616315e-05,2.7083664594590895e-06,-5.634433358004405e-06,0.0,-4.3981913243508435e-06,-3.0770126473966793e-06,-4.262361146764839e-06
2006-05-31,0.0,0.0,7.608311080671741e-07,0.0,1.251486940545386e-06,9.675097359711208e-07,0.0,4.34448865998237e-07,8.883477723023543e-07,-2.956414807427805e-06,0.0,1.0472679469799118e-06,0.0,7.408869659469339e-07,0.0,-3.647478669781766e-06,-2.75620894172479e-06,-2.943820476825e-06,-1.421187673063778e-05,0.0,-1.8227673198903749e-06,-3.116757417544125e-06,-3.793501748432043e-06,-1.1587028592213286e-05,-5.856274543483857e-06,-5.20015299427616e-06,-3.498732523589951e-06,-2.1409289754730902e-06,0.0,0.0,0.0,0.0,-8.689117856881025e-07,7.276051881359522e-07,0.0,3.107694965296851e-07,0.0,0.0,0.0,0.0,-2.3406825943909822e-07,0.0,1.028618322722052e-08,1.4231056050907488e-07,3.261608628779649e-08,0.0,1.8274529005864536e-07,-4.935901717577661e-06,-2.6988779107066756e-06,0.0,8.74019235833429e-07,-1.0991744737275344e-06,1.2878937403660412e-06,2.7547205880060557e-06,-2.94356368616315e-05,2.7083664594590895e-06,-5.634433358004405e-06,0.0,-4.3981913243508435e-06,-3.0770126473966793e-06,7.002122724303376e-07
2006-06-30,0.0,0.0,7.608311080671741e-07,5.844723306191171e-09,1.251486940545386e-06,9.675097359711208e-07,5.320865730258709e-07,7.391009342829082e-07,6.059830104696064e-07,-2.956414807427805e-06,0.0,7.251580856228669e-07,0.0,7.408869659469339e-07,0.0,-3.647478669781766e-06,-2.75620894172479e-06,-2.943820476825e-06,-1.0180390044406747e-05,0.0,-1.8227673198903749e-06,-1.3742867102916415e-06,-3.793501748432043e-06,-1.1587028592213286e-05,-5.856274543483857e-06,-5.20015299427616e-06,-3.498732523589951e-06,-2.1409289754730902e-06,0.0,0.0,0.0,0.0,-1.5675889651629411e-06,-4.128113003821764e-06,0.0,0.0,0.0,0.0,0.0,-6.744677060933608e-07,-2.3406825943909822e-07,0.0,9.98647377045239e-08,1.9527369839238046e-07,1.396815844580941e-07,0.0,1.8274529005864536e-07,6.229799513801393e-06,-2.6988779107066756e-06,0.0,1.930025197769861e-06,-1.0991744737275344e-06,1.2878937403660412e-06,2.7547205880060557e-06,-2.94356368616315e-05,2.7083664594590895e-06,-4.1713509015415955e-06,-5.132741909602916e-06,-4.3981913243508435e-06,-3.0770126473966793e-06,-3.121824376512281e-06
2006-07-31,0.0,0.0,1.4229361222445887e-06,0.0,1.7485094337426945e-06,1.3018354738368349e-06,1.9216946691536215e-06,1.0294919725807236e-06,8.990931660211602e-07,-2.956414807427805e-06,0.0,1.0944502269715442e-06,0.0,1.1258784291040966e-06,0.0,-3.647478669781766e-06,-2.75620894172479e-06,-4.421500482338117e-06,-1.3693294830168772e-05,0.0,-1.8227673198903749e-06,-2.649035233965564e-06,-3.793501748432043e-06,-1.1587028592213286e-05,-8.390519658339086e-06,-7.460003810737952e-06,-3.498732523589951e-06,-3.2346423581376717e-06,0.0,0.0,0.0,0.0,-1.5675889651629411e-06,1.1682078016300374e-06,0.0,-2.2167316851779827e-06,0.0,-1.2556956941524165e-06,-1.1932373889101496e-06,-9.029738512791013e-07,-2.3406825943909822e-07,0.0,0.0,4.29450799442322e-07,0.0,0.0,1.8274529005864536e-07,1.9274387763472535e-06,-2.6988779107066756e-06,0.0,4.150553557376652e-06,-2.3820622710976824e-06,1.803857615244515e-06,2.7547205880060557e-06,-1.5681257229254357e-05,2.7083664594590895e-06,-4.1713509015415955e-06,0.0,-4.3981913243508435e-06,-3.0770126473966793e-06,-3.121824376512281e-06
2006-08-31,0.0,0.0,1.9355170908619296e-06,0.0,1.7485094337426945e-06,1.3018354738368349e-06,1.9216946691536215e-06,4.5807915057850113e-07,1.2882434416104383e-07,-4.305505241964926e-06,0.0,1.131449456423528e-07,0.0,1.1258784291040966e-06,0.0,-6.031764052407117e-06,-3.7842364165023643e-06,-6.437660974558558e-06,-1.3693294830168772e-05,0.0,-1.8227673198903749e-06,-2.649035233965564e-06,-2.4566479977206157e-06,-1.1587028592213286e-05,-8.390519658339086e-06,-7.460003810737952e-06,-6.191117278497331e-06,-3.2346423581376717e-06,0.0,0.0,0.0,0.0,-2.5486610461158146e-06,2.9770502649076935e-06,0.0,-2.2167316851779827e-06,4.210285612778154e-08,-1.2556956941524165e-06,-1.1932373889101496e-06,-9.029738512791013e-07,-2.3406825943909822e-07,0.0,0.0,6.434925306904564e-07,0.0,0.0,3.5627576371560144e-10,-1.9395328490649376e-06,-3.894617266792262e-06,0.0,1.0016172192758225e-06,2.143191794838244e-06,1.2548394148170072e-06,2.762477766913904e-07,-2.1159051781765313e-05,2.7083664594590895e-06,-4.1713509015415955e-06,1.0570266253236385e-06,-7.878427769540242e-06,-4.44370581757695e-06,0.0
