Episode ID,Symbol,Asset class,Direction,Entry date,Exit date,Status,Entry contracts,Maximum absolute contracts,Entry NAV USD,Holding sessions,Holding calendar days,Gross P&L USD,Regular cost USD,Roll cost USD,Net P&L USD,Gross contribution,Cost contribution,Net contribution,MFE contribution,MAE contribution,Resize count,Roll count
SI-0016,SI,Metals,Short,1998-09-01,1999-03-01,Closed,4.0,4.0,3212942.009687436,129,181,-6204.999999999995,185.46080007021772,231.98177547492054,-6622.442575545133,-0.00183986714230102,0.00012885871579968727,-0.001968725858100707,9.639030821545513e-05,-0.003683646708275312,2,2
YAP-0021,YAP,Equity indices,Short,1998-09-01,1998-11-02,Closed,3.0,3.0,3212942.009687436,44,62,-11053.807500000003,96.93110802844535,94.20539036883753,-11244.943998397286,-0.003548347896365081,6.144229681377747e-05,-0.0036097901931788586,4.38476805520924e-05,-0.0036097901931788586,0,1
6S-0012,6S,FX,Long,1998-10-01,1998-11-02,Closed,1.0,1.0,3115183.0832497957,22,32,237.50000000000227,20.046417124696383,0.0,217.4535828753059,5.802909892199727e-05,6.471814946081976e-06,5.1557283975915226e-05,0.00122873629741354,-0.00016696094764679894,0,0
CT-0014,CT,Agriculture & livestock,Long,1998-10-01,1998-11-02,Closed,4.0,4.0,3115183.0832497957,22,32,-10439.999999999996,69.0309388838423,0.0,-10509.03093888384,-0.0033882527944397406,2.2283684359785035e-05,-0.003410536478799526,0.0012473054733641883,-0.003942353764029193,0,0
PL-0018,PL,Metals,Short,1998-10-01,1998-12-01,Closed,6.0,7.0,3115183.0832497957,43,61,-299.9999999999786,126.25920217479444,0.0,-426.25920217477307,-0.00010562528481082258,4.00776373326409e-05,-0.00014570292214346355,0.0016351342245106487,-0.0012676058659877613,1,0
ZT-0013,ZT,Government bonds,Long,1998-10-01,1999-01-04,Closed,2.0,3.0,3115183.0832497957,67,95,-3062.520000000035,82.71577972834211,87.70846906906283,-3232.9442487974397,-0.0009919529004959915,5.380539657273643e-05,-0.0010457582970687278,0.0004069744468873824,-0.0017431174181282373,2,1
6J-0016,6J,FX,Long,1998-11-02,1999-06-01,Closed,1.0,2.0,3080340.873778135,151,211,-12600.000000000004,57.15554017500223,38.4669216162736,-12695.62246179128,-0.003930468180464647,2.8846659236445077e-05,-0.003959314839701093,0.002462074814859701,-0.0057908732785090615,3,2
6M-0004,6M,FX,Long,1998-11-02,2000-04-03,Closed,3.0,14.0,3080340.873778135,370,518,93675.0,666.9216248719039,1104.4983987669634,91903.57997636113,0.026941088572320766,0.0005004869244494618,0.026440601647871292,0.02749155745539964,-0.0067352027951584825,15,6
6S-0013,6S,FX,Short,1998-11-02,1999-01-04,Closed,1.0,4.0,3080340.873778135,45,63,262.4999999999998,84.33510915667156,86.03886199773854,92.12602884558967,7.326263917896458e-05,5.153693194351144e-05,2.1725707235452425e-05,0.0014118097547496569,-0.0036055961015275715,1,1
YAP-0022,YAP,Equity indices,Long,1998-11-02,1999-07-01,Closed,4.0,5.0,3080340.873778135,173,241,14756.842499999995,266.5436573658399,297.9494035583216,14192.349439075833,0.0044684978765616975,0.000170583196080074,0.004297914680481624,0.0067512210635434855,-0.0006490189491688812,6,3
ZN-0012,ZN,Government bonds,Long,1998-11-02,1998-12-01,Closed,2.0,2.0,3080340.873778135,21,29,125.0,64.54376573371823,64.7788757767601,-4.322641510478334,1.845794142939076e-05,4.107567385312556e-05,-2.2617732423734838e-05,9.709566179588159e-06,-0.001059558450460856,0,1
6B-0025,6B,FX,Long,1998-12-01,1999-03-01,Closed,5.0,5.0,3188097.821065014,64,90,-8649.999999999989,109.67963484517944,113.02346865318677,-8872.703103498356,-0.0024651552217806612,6.68824951111197e-05,-0.0025320377168917816,0.0037106783508288363,-0.0032113859239390266,1,1
CT-0015,CT,Agriculture & livestock,Short,1998-12-01,1999-03-01,Closed,1.0,1.0,3188097.821065014,64,90,1399.9999999999977,16.342985407831634,16.243383803876416,1367.4136307882895,0.0004450424908726486,9.595142054218298e-06,0.00043544734881843024,0.0011115497480596369,-0.00011185127346563078,0,1
ES-0001,ES,Equity indices,Long,1998-12-01,2000-07-03,Closed,3.0,4.0,3188097.821065014,414,580,28576.999999999993,304.45945295490696,565.8022816095306,27706.738265435557,0.008340543447858308,0.00024474028495739185,0.008095803162900919,0.010442437183441311,-0.0019914299447656137,13,7
PL-0019,PL,Metals,Long,1998-12-01,1999-01-04,Closed,11.0,11.0,3188097.821065014,24,34,6710.0000000000255,205.08734456025536,202.13304577232682,6302.779609667443,0.0019744788482153434,0.0001228544675382562,0.001851624380677087,0.001947354028336202,-0.0015220113547590368,0,1
YXT-0019,YXT,Government bonds,Long,1998-12-01,1999-01-04,Closed,4.0,4.0,3188097.821065014,24,34,1502.192000000141,180.91482451138248,159.7631450698725,1161.514030418886,0.0005306376090430636,0.00010333967790248174,0.0004272979311405819,0.0018858433712855799,-0.00015891101001434338,0,1
ZB-0009,ZB,Government bonds,Long,1998-12-01,1999-02-01,Closed,1.0,1.0,3188097.821065014,44,62,-2750.0,55.20443757680853,0.0,-2805.2044375768087,-0.0008132716959780807,1.6740873352994517e-05,-0.0008300125693310753,0.0001728012673787945,-0.0013142351559249125,0,0
6S-0014,6S,FX,Long,1999-01-04,1999-02-01,Closed,3.0,3.0,3361919.4268032266,20,28,-10987.499999999958,64.61452241999561,0.0,-11052.114522419954,-0.003193842359241465,1.907758622434967e-05,-0.003212919945465815,0.0005529673249693707,-0.003212919945465815,0,0
PL-0020,PL,Metals,Short,1999-01-04,1999-06-01,Closed,12.0,14.0,3361919.4268032266,106,148,8124.999999999956,357.161882431861,275.1308655768197,7492.707251991275,0.002649538705309965,0.00019181962710642034,0.002457719078203545,0.005236790177947128,-0.0019406914760996354,4,1
6S-0015,6S,FX,Short,1999-02-01,2000-06-01,Closed,1.0,6.0,3414777.1707199956,348,486,54475.00000000001,278.6398229478047,563.9082136017032,53632.4519634505,0.01536799152599232,0.0002388702482039879,0.015129121277788336,0.01685364916752237,-0.00022878464589138134,11,5
6C-0010,6C,FX,Short,1999-03-01,1999-04-01,Closed,2.0,2.0,3494371.8917605407,23,31,-2160.0000000000064,34.11880111827149,37.35706596912829,-2231.475867087406,-0.0006484445468048271,2.101489120317936e-05,-0.0006694594380080063,0.0001224339210147977,-0.0006694594380080063,0,1
YXT-0020,YXT,Government bonds,Long,1999-03-01,1999-05-03,Closed,3.0,3.0,3494371.8917605407,45,63,-27.44400000007272,117.21681372874295,106.07818266872559,-250.73899639754126,1.0554443301267352e-05,6.602870551214649e-05,-5.54742622108791e-05,0.0007859785271475511,-0.0011483796851582653,1,1
YYT-0012,YYT,Government bonds,Long,1999-03-01,1999-04-01,Closed,8.0,8.0,3494371.8917605407,23,31,2615.3568000000973,220.20082170827948,197.57915717741952,2197.5768211143986,0.0007997649651943407,0.00012373803536614876,0.0006760269298281921,0.0009632024667887865,-0.00092595201693522,0,1
ZB-0010,ZB,Government bonds,Long,1999-03-01,1999-06-01,Closed,4.0,4.0,3494371.8917605407,66,92,-5747.987999999979,221.51263823522567,110.91405651572538,-6080.41469475093,-0.0017434090094596137,9.876981250500421e-05,-0.0018421788219646173,0.0023208066527930075,-0.0018421788219646173,2,1
ZL-0013,ZL,Agriculture & livestock,Short,1999-03-01,1999-07-01,Closed,1.0,3.0,3494371.8917605407,88,122,4271.999999999998,51.54264237459546,69.05200133038903,4151.405356295013,0.0012974507011499796,3.5865146222432515e-05,0.0012615855549275472,0.001266657448387678,-0.0006711715553860561,3,2
6B-0026,6B,FX,Short,1999-04-01,1999-05-03,Closed,4.0,4.0,3274926.669164352,22,32,-1500.0000000000023,91.23952870246637,0.0,-1591.2395287024688,-0.00043529744336531014,2.773314281728569e-05,-0.0004630305861825958,0.0009307873677957517,-0.0011704203922557575,0,0
CC-0025,CC,Agriculture & livestock,Short,1999-04-01,2001-02-01,Closed,13.0,19.0,3274926.669164352,480,672,-1570.0,1251.6719143331338,2530.3768446320223,-5352.048758965157,0.0024506097000909473,0.0010030007579457136,0.0014476089421452325,0.014577892545627653,-0.0005740498261992072,18,9
FCE-0001,FCE,Equity indices,Long,1999-04-01,1999-06-01,Closed,1.0,2.0,3274926.669164352,43,61,-188.91649999999936,32.84818509758003,50.06330416794769,-271.8279892655271,-5.836267065651449e-05,2.5036146812424792e-05,-8.339881746893924e-05,0.0006486895630226238,-0.0005620449318332738,1,2
LFT-0003,LFT,Equity indices,Short,1999-04-01,1999-05-04,Closed,2.0,2.0,3274926.669164352,23,33,-5964.804,43.72772729771148,0.0,-6008.531727297712,-0.0017887460727065005,1.3306598693079488e-05,-0.00180205267139958,0.0001887507912253409,-0.0027118730708740623,0,0
6A-0006,6A,FX,Long,1999-05-03,2000-02-01,Closed,5.0,9.0,3302817.864319065,196,274,-29010.00000000001,211.0826392577708,384.0592247671689,-29605.14186402495,-0.008093473545542252,0.00016918399661595176,-0.008262657542158207,0.0012275257232173468,-0.00826846756471258,4,3
6B-0027,6B,FX,Long,1999-05-03,1999-06-01,Closed,3.0,3.0,3302817.864319065,21,29,637.4999999999723,69.87108970083762,0.0,567.6289102991346,0.0001999091181012668,2.11540960006568e-05,0.00017875502210060995,0.001832055249550274,-0.0007271788878064347,0,0
HTW-0003,HTW,Equity indices,Long,1999-05-03,2000-01-04,Closed,3.0,4.0,3302817.864319065,176,246,29133.999999999996,171.52696832952026,545.7950996437484,28416.67793202673,0.008269297289376922,0.00020594675717892786,0.008063350532197991,0.008113694376076497,-0.0013826046787539844,6,8
NKD-0012,NKD,Equity indices,Long,1999-05-03,1999-06-01,Closed,1.0,1.0,3302817.864319065,21,29,-1450.0,51.00722842287559,0.0,-1501.0072284228756,-0.0004303666470800786,1.5442886120807914e-05,-0.0004458095332008867,0.000743243838120033,-0.00123314424240278,0,0
LFT-0004,LFT,Equity indices,Long,1999-05-04,2000-03-01,Closed,1.0,3.0,3297173.611478422,216,302,-499.5130000000054,107.22185966905752,112.10545014982966,-718.8403098188926,0.00029224463608679667,6.168085684006527e-05,0.00023056377924673288,0.006956504981230708,-0.005674958762239715,7,3
SNK-0017,SNK,Equity indices,Long,1999-05-06,1999-09-01,Closed,2.0,2.0,3293221.958485284,84,118,3952.8200000000033,84.52696619314352,81.83487530040753,3786.4581585064525,0.0011305134804813276,5.007855133548563e-05,0.0010804349291458418,0.0030274318732319977,-0.003333208365579084,0,1
6B-0028,6B,FX,Short,1999-06-01,1999-08-02,Closed,5.0,5.0,3303114.7904304718,44,62,-1625.0000000000318,113.21357620267824,114.47417131139034,-1852.6877475141005,-0.0004338576706524334,6.841683274238096e-05,-0.0005022745033948146,0.005804122765983431,-0.0009470790546737167,0,1
BRN-0018,BRN,Energy,Long,1999-06-01,2001-08-01,Closed,4.0,11.0,3303114.7904304718,566,792,138290.00000000003,538.1006826809478,2840.829969897587,134911.0693474215,0.03739513222591663,0.0008625539129735718,0.036532578312943056,0.03911969673307597,-1.4135119763196043e-05,16,26
CGB-0002,CGB,Government bonds,Short,1999-06-01,2000-03-01,Closed,7.0,10.0,3303114.7904304718,196,274,6335.1559999999845,359.96499837012664,516.5497045998025,5458.641297030055,0.002342260032225965,0.00024063426058495475,0.0021016257716410147,0.008707602408706843,-0.002713815666350507,5,3
CL-0018,CL,Energy,Long,1999-06-01,2001-09-04,Closed,4.0,7.0,3303114.7904304718,590,826,95270.00000000012,395.4607865824153,2312.6853049101164,92561.85390850758,0.025949994198187366,0.000680154311894169,0.025269839886293187,0.02869917749131967,-1.4065061132987136e-05,14,27
LLG-0020,LLG,Government bonds,Long,1999-06-01,1999-08-02,Closed,1.0,1.0,3303114.7904304718,44,62,-5388.258000000004,34.685685269208165,0.0,-5422.943685269212,-0.0016058439381511746,1.0375219908190373e-05,-0.0016162191580593652,6.340430421950682e-05,-0.0017879232016401235,0,0
YXT-0021,YXT,Government bonds,Short,1999-06-01,2000-06-01,Closed,4.0,5.0,3303114.7904304718,262,366,4262.495999999921,254.13770645003135,370.55059981995305,3637.8076937299365,0.001594052832354011,0.00017933824169256282,0.0014147145906614465,0.00396724761658469,-0.0015828297055271857,5,4
