date,prior_nav_usd,gross_pnl_usd,transaction_cost_usd,fixed_execution_cost_usd,market_impact_cost_usd,net_pnl_usd,gross_return,cost,net_return,nav,equity,rebalance_contract_turnover,roll_contract_turnover_increment,total_contract_turnover,gross_notional_usd,gross_notional_multiple,static_margin_requirement_usd,static_margin_fraction,max_order_participation,max_rebalance_participation,max_roll_participation_proxy,filled_markets,pending_markets,capacity_deferred_contracts,roll_backlog_contracts,target_portfolio_limit_scale,risk_scalar,active_markets,delivery_label_anomalies
2013-04-30,17218719.884996604,11570.839499999154,3998.2348349367085,3656.3940000000002,341.84083493670863,7572.604665062446,0.0006719918540565443,0.00023220279217275256,0.00043978906188379166,17226292.489661667,17.226292489661667,0.0,390.0,390.0,49259993.447000004,2.8595818558499055,3673628.0838,0.21325703635908436,0.009088548428979486,0.0,0.009088548428979486,0,0,0.0,0.0,1.0,0.8645374165301574,53,0
2013-05-01,17226292.489661667,-11372.237499999223,2258.979678733964,1951.1052499999998,307.87442873396407,-13631.217178733186,-0.0006601674450160563,0.0001311355696583979,-0.0007913030146744542,17212661.27248293,17.212661272482933,188.0,0.0,188.0,37497791.844,2.178500538086225,2962766.2644,0.17212714626159725,0.005108055009823182,0.005108055009823182,0.0,37,7,0.0,0.0,1.0,0.6755811878671514,53,0
2013-05-02,17212661.27248293,11644.710799999651,269.4106443282817,258.221625,11.189019328281677,11375.30015567137,0.0006765200694802204,1.56518878785453e-05,0.0006608681816016751,17224036.5726386,17.2240365726386,21.0,0.0,21.0,35850949.770899996,2.081448771877978,2762805.1584,0.16040404621463003,0.0001365672457117885,0.0001365672457117885,0.0,7,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-03,17224036.5726386,26826.4476000004,0.0,0.0,0.0,26826.4476000004,0.001557500617631978,0.0,0.001557500617631978,17250863.0202386,17.2508630202386,0.0,0.0,0.0,35929634.0362,2.0827731339613322,2763288.8296999997,0.16018264283115152,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-06,17250863.0202386,-49311.00690000019,0.0,0.0,0.0,-49311.00690000019,-0.002858466086140087,0.0,-0.002858466086140087,17201552.0133386,17.2015520133386,0.0,0.0,0.0,35867429.144700006,2.0851274999422915,2761617.7691,0.16054468613986453,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-07,17201552.0133386,27692.875500000326,0.0,0.0,0.0,27692.875500000326,0.001609905634010608,0.0,0.001609905634010608,17229244.8888386,17.2292448888386,0.0,0.0,0.0,35856123.531399995,2.0811198495778656,2761655.0863,0.16028880569740162,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-08,17229244.8888386,103130.96799999994,0.0,0.0,0.0,103130.96799999994,0.005985808935063076,0.0,0.005985808935063076,17332375.8568386,17.3323758568386,0.0,0.0,0.0,36000577.25220001,2.0770711153252397,2763946.2838,0.15946724826587852,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-09,17332375.8568386,50629.11549999938,0.0,0.0,0.0,50629.11549999938,0.0029210718667875726,0.0,0.0029210718667875726,17383004.9723386,17.383004972338597,0.0,0.0,0.0,35887029.1979,2.064489382302235,2756433.8233,0.1585706169725134,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-10,17383004.9723386,-16964.223999999784,327.3270145596164,318.5,8.8270145596164,-17291.5510145594,-0.0009759085973337051,1.883028941661632e-05,-0.0009947388867503216,17365713.42132404,17.365713421324042,0.0,14.0,14.0,35680884.888000004,2.0546742896370755,2753443.1732,0.15855629460169135,5.47958073379414e-05,0.0,5.47958073379414e-05,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-13,17365713.42132404,47265.38289999994,0.0,0.0,0.0,47265.38289999994,0.00272176453412855,0.0,0.00272176453412855,17412978.80422404,17.41297880422404,0.0,0.0,0.0,35671871.3769,2.0485794979688783,2752013.2323000003,0.15804379384143147,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
