Window,Source start,Source end,Source sessions,Method,Drawdown resolution,Expected block sessions,Approximate block months,Horizon sessions,Approximate horizon years,Samples,Seed,Metric,Statistic,Value,Selection adjusted
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P95,-0.07236186689435581,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P99,-0.06368541482913234,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.069,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.008,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Maximum drawdown,P01,-0.21382546842347686,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Maximum drawdown,P05,-0.1810948792512684,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Maximum drawdown,P25,-0.14229225675520937,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Maximum drawdown,Median,-0.12283081791965372,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Maximum drawdown,P75,-0.1073727511170531,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Maximum drawdown,P95,-0.09172492905810574,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Maximum drawdown,P99,-0.08231567822045079,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.185,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.02,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P01,-0.18159855854622792,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P05,-0.14597724588167157,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P25,-0.11504796615884552,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,Median,-0.09964215368767271,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P75,-0.08557570404860992,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P95,-0.07153018592551685,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Maximum drawdown,P99,-0.06508336346210421,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.0385,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.005,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Maximum drawdown,P01,-0.18910941642647666,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Maximum drawdown,P05,-0.16396457061891237,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Maximum drawdown,P25,-0.1318953565642785,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Maximum drawdown,Median,-0.11473632745868267,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Maximum drawdown,P75,-0.10186678762595686,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Maximum drawdown,P95,-0.088320047956104,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Maximum drawdown,P99,-0.07932602457586799,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.0995,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.004,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,63,3.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P01,-0.16425252958766678,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P05,-0.13721495323914978,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P25,-0.11157670227169508,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,Median,-0.09961853904208595,False
