Date,EMD,ES,FCE,FDAX,FESX,FSMI,HTW,LFT,NKD,NQ,RTY,SNK,SXF,YAP,YM,CGB,FGBL,FGBM,FGBS,FGBX,LLG,SJB,YXT,YYT,ZT,ZF,ZN,ZB,6A,6B,6C,6E,6J,6M,6N,6S,BRN,CL,GAS,HO,NG,RB,GC,HG,PA,PL,SI,CC,CT,GF,HE,KC,KE,LE,RS,SB,ZC,ZL,ZM,ZS,ZW
2010-06-30,1.8247399743273056e-07,3.07162079901061e-07,3.233937547638328e-07,1.0351106615529409e-07,4.182241310435411e-07,3.885417742008368e-07,1.3340616015899267e-06,2.983630032263967e-07,-1.8114377878816367e-07,3.9042955688827187e-07,4.636034461505765e-07,4.170877340074878e-07,1.854777135417833e-07,1.4614054747908198e-07,3.8958339257067785e-07,7.515973445435206e-07,5.975921512263591e-07,1.1277032470040133e-06,4.170577173828349e-06,1.987021488045225e-07,6.938205011231849e-07,1.7299869600939435e-06,1.2705046845448823e-06,2.8635870116695706e-06,2.291491001352602e-06,1.3264564391530226e-06,4.1697058123346314e-07,2.4410692047080985e-07,4.707347003405155e-07,-6.797439694350629e-07,5.488592571804875e-07,-3.851998122270865e-07,2.40467729033387e-07,5.195342172352135e-07,5.292361601242313e-07,6.990158519570476e-07,3.169622680526325e-07,2.683939672943513e-07,3.761873548403302e-07,2.3517729441150303e-07,-2.823443812151636e-07,2.0115765209038515e-07,3.7296125978439225e-07,0.0,2.3640580466527975e-07,3.7755868809883695e-07,1.80038845325536e-07,2.9174014578775265e-07,8.619486691620626e-07,8.691555562697466e-07,1.1491007188301046e-06,3.125825355038668e-07,-1.0925413826962296e-06,-4.512457497964115e-07,-3.2285890045957846e-06,0.0,-6.76974665835732e-07,1.9284014871662705e-06,1.1590404041315483e-06,1.0225465722837424e-06,-7.838790682589668e-07
2010-07-30,2.974540384520131e-07,4.778649002425442e-07,4.5867222199516734e-07,1.5333030522045145e-07,6.621552970721443e-07,5.908538805593781e-07,1.3340616015899267e-06,2.983630032263967e-07,-2.927624291827912e-07,7.226283910077068e-07,4.636034461505765e-07,-2.8627764831639935e-07,2.956235890288961e-07,2.158509800881278e-07,5.690770585196587e-07,7.515973445435206e-07,9.058410615424747e-07,1.1277032470040133e-06,4.170577173828349e-06,3.1158703756860475e-07,6.938205011231849e-07,1.7299869600939435e-06,1.2705046845448823e-06,2.8635870116695706e-06,3.0681515478758395e-06,1.3264564391530226e-06,4.1697058123346314e-07,2.4410692047080985e-07,4.707347003405155e-07,-6.797439694350629e-07,5.488592571804875e-07,-3.851998122270865e-07,3.211597530949951e-07,5.195342172352135e-07,5.292361601242313e-07,6.990158519570476e-07,-1.3447895498751147e-07,-2.429802215298036e-07,-4.0369933026981133e-07,-3.2901586037085647e-07,-4.2208842869571184e-07,0.0,2.65824688138373e-07,0.0,3.6960770278292194e-07,5.056550748914995e-07,2.570066904352269e-07,2.9174014578775265e-07,8.619486691620626e-07,8.691555562697466e-07,1.1491007188301046e-06,1.9093718465622765e-07,9.530099882126534e-07,1.8958849435989065e-06,2.6823239536680046e-06,0.0,1.324398442651521e-06,-1.999985435835583e-06,1.1590404041315483e-06,4.1510917185785715e-07,6.837493078737039e-07
2010-08-31,6.664314700479373e-07,1.0782492184465502e-06,-8.12535697416864e-07,3.1647103818812076e-07,-7.143201258728052e-07,1.1281156080230557e-06,2.5007507473089028e-06,8.414626063470451e-07,-8.94838245245071e-08,1.5880473334844947e-06,1.2958388053438024e-06,-8.55503800061315e-07,5.316926327196496e-07,-6.487450574249729e-07,1.292829524241097e-06,1.2646096525332936e-06,5.561700289005045e-07,1.1277032470040133e-06,6.503334238032531e-06,3.1158703756860475e-07,6.938205011231849e-07,1.7299869600939435e-06,2.2523065765154845e-06,5.56406712972845e-06,0.0,1.3264564391530226e-06,4.1697058123346314e-07,4.862129922366006e-07,9.679784245310676e-07,-6.797439694350629e-07,1.0751370027741113e-06,-5.67250972371855e-07,6.926992996961638e-07,1.9797815769479164e-06,1.1550603763814429e-06,9.82019249093278e-07,-2.2847666510883327e-07,-2.429802215298036e-07,6.705697506990411e-07,3.9888071302609563e-07,-7.002383579278805e-07,-4.905758425876346e-07,6.731782697040034e-07,2.3234956063335476e-07,5.758939507793151e-07,9.124195455248759e-07,4.173299721821807e-07,-1.549283586355585e-06,1.738552681214486e-06,1.3447713716255116e-06,1.871852330778704e-06,1.9093718465622765e-07,5.301264379064945e-07,2.7354557753606214e-06,3.872734263655106e-06,0.0,9.422011253604732e-07,2.3298407958097457e-06,1.5572059963898895e-07,0.0,6.837493078737039e-07
2010-09-30,6.664314700479373e-07,1.0782492184465502e-06,1.0722749106609408e-06,3.1647103818812076e-07,-1.2471194323217597e-06,1.1281156080230557e-06,2.5007507473089028e-06,8.414626063470451e-07,0.0,1.5880473334844947e-06,1.2958388053438024e-06,0.0,5.316926327196496e-07,-6.487450574249729e-07,1.292829524241097e-06,1.2646096525332936e-06,5.561700289005045e-07,1.6197426999404079e-06,6.503334238032531e-06,3.1158703756860475e-07,6.938205011231849e-07,1.7299869600939435e-06,9.717859147594852e-07,2.787692365825981e-06,0.0,7.768724915688174e-07,2.1278930275213736e-07,4.862129922366006e-07,9.679784245310676e-07,-1.1197905622596322e-06,1.0751370027741113e-06,-5.67250972371855e-07,6.926992996961638e-07,2.9644268127042845e-08,1.1550603763814429e-06,9.82019249093278e-07,6.180975234776281e-07,-2.429802215298036e-07,6.705697506990411e-07,3.9888071302609563e-07,-2.1463743678295515e-07,0.0,6.731782697040034e-07,2.3234956063335476e-07,5.758939507793151e-07,6.724452800857869e-07,5.582767379593262e-07,-1.549283586355585e-06,5.384739548296035e-07,1.3447713716255116e-06,1.871852330778704e-06,3.6135165557260773e-07,5.301264379064945e-07,2.7354557753606214e-06,7.005719527603752e-06,1.1143767971317016e-06,9.422011253604732e-07,2.3298407958097457e-06,4.909453212081023e-07,3.1792018303443745e-07,6.837493078737039e-07
2010-10-29,6.664314700479373e-07,1.0782492184465502e-06,7.448938689076165e-07,2.2478323071707435e-07,1.0381546792066283e-06,1.1281156080230557e-06,1.5114499079649155e-06,5.800810414701281e-07,0.0,1.1425230272895492e-06,9.581603059568627e-07,0.0,5.316926327196496e-07,-3.793016626557852e-07,1.292829524241097e-06,6.901078234677244e-07,5.561700289005045e-07,1.6197426999404079e-06,4.1486730927759576e-06,3.1158703756860475e-07,3.6280843769142987e-07,1.2838338946905252e-06,9.717859147594852e-07,2.787692365825981e-06,0.0,0.0,0.0,2.550437670045309e-07,4.5372923026647216e-07,-6.335891176261951e-07,6.19252428242081e-07,-2.4506913014878883e-07,4.531475009447467e-07,0.0,6.669907135152367e-07,3.7118576170673873e-07,-4.318478163906379e-08,-1.4203644954684379e-07,4.3841313109311253e-07,-2.7947748224537373e-07,-5.542901341732707e-08,-2.824823463156114e-07,3.131937410159233e-07,2.3234956063335476e-07,2.432743393951286e-07,3.8677406775701335e-07,2.0655310195232283e-07,-9.690871124806607e-07,1.3692351070062241e-07,1.3447713716255116e-06,1.0490648086665028e-06,1.2587724067239133e-07,3.75614292468503e-07,1.1296923053399358e-06,3.702498238970636e-06,6.534756725567487e-07,5.399144115757394e-07,8.033244242458234e-07,4.909453212081023e-07,3.1792018303443745e-07,3.923431109740803e-07
2010-11-30,3.7747572834607583e-07,5.740830776935875e-07,-5.207974071908757e-07,1.3056038442781815e-07,-7.325835584153702e-07,5.3560345560335e-07,1.5114499079649155e-06,3.7445964911474335e-07,0.0,7.536473516966079e-07,9.581603059568627e-07,-1.1071421415974568e-07,2.8667340501234506e-07,-3.793016626557852e-07,6.9057243005998e-07,4.438109540757356e-07,3.6128904779740387e-07,6.711861609912744e-07,1.4746378832850504e-06,1.4620135122655636e-07,3.6280843769142987e-07,3.8623097553079063e-07,9.717859147594852e-07,2.787692365825981e-06,0.0,5.20240180126266e-07,1.2365545747096665e-07,2.550437670045309e-07,4.5372923026647216e-07,-4.6093469641857825e-07,6.19252428242081e-07,-1.7704223067236628e-07,3.1204845247769687e-07,1.2705957533498866e-06,4.735823632436141e-07,1.919367904023464e-07,2.3823003268366188e-07,2.2108962062140124e-07,3.2158510146537417e-07,1.9762498060257112e-07,-5.542901341732707e-08,1.5456848309360645e-07,1.4834108252475493e-07,2.3234956063335476e-07,1.5891301103731704e-07,2.1953073921800382e-07,6.225704382709239e-08,-6.703863457006127e-07,1.0119289868482766e-07,5.366825815856105e-07,1.0490648086665028e-06,1.2587724067239133e-07,3.75614292468503e-07,1.1296923053399358e-06,1.611932848949971e-06,1.738911457762984e-07,3.8865187974874e-07,4.4821001761776254e-07,2.69934158733773e-07,1.7689962030505137e-07,3.923431109740803e-07
2010-12-31,6.169567451402485e-07,9.642216814012228e-07,-7.977257572657147e-07,1.8912881991622686e-07,-1.0570906648574108e-06,5.3560345560335e-07,2.088582476879842e-06,3.7445964911474335e-07,0.0,1.2744736577395018e-06,9.581603059568627e-07,0.0,2.8667340501234506e-07,-3.793016626557852e-07,1.1325576601468415e-06,4.438109540757356e-07,5.948652566498696e-07,9.618529146546516e-07,2.359836039956028e-06,2.4443498712575444e-07,3.6280843769142987e-07,5.712701909432642e-07,4.555546055826443e-07,1.532204289114268e-06,6.465271647062798e-07,5.20240180126266e-07,2.205803615728801e-07,3.7148716255934665e-07,4.5372923026647216e-07,-6.15110659239333e-07,6.19252428242081e-07,-3.3098904399258666e-07,4.800768787024185e-07,0.0,4.735823632436141e-07,2.965430485484246e-07,3.814293703210589e-07,3.57855046667332e-07,5.078601813994616e-07,3.179096993243948e-07,-1.3463010261293526e-07,1.5456848309360645e-07,2.400896694619566e-07,2.3234956063335476e-07,2.2064761340590592e-07,4.4844427784114047e-07,9.571438320288302e-08,-6.703863457006127e-07,1.887553319876194e-07,3.884344483726601e-07,1.0490648086665028e-06,2.448094223118713e-07,5.464800180748629e-07,1.1296923053399358e-06,2.5872013932462416e-06,1.738911457762984e-07,5.904359971995035e-07,7.015327006011841e-07,2.69934158733773e-07,2.6445773314842903e-07,3.923431109740803e-07
2011-01-31,6.169567451402485e-07,9.642216814012228e-07,6.093677405043586e-07,1.8912881991622686e-07,7.315954209840207e-07,5.3560345560335e-07,2.088582476879842e-06,3.7445964911474335e-07,7.564365767855516e-07,9.390582185334949e-07,9.581603059568627e-07,7.120145192311895e-07,2.8667340501234506e-07,1.3118072448536618e-07,1.1325576601468415e-06,4.438109540757356e-07,5.948652566498696e-07,9.618529146546516e-07,2.359836039956028e-06,2.4443498712575444e-07,5.13217721390987e-07,5.712701909432642e-07,4.555546055826443e-07,1.532204289114268e-06,4.466800136812223e-07,5.20240180126266e-07,1.0378666251930156e-07,3.7148716255934665e-07,4.5372923026647216e-07,6.589633829604464e-07,8.819525837490281e-07,2.853954176943279e-07,4.800768787024185e-07,0.0,7.00405160084534e-07,2.965430485484246e-07,3.814293703210589e-07,2.0775701674121355e-07,3.798549535758453e-07,3.179096993243948e-07,-1.3463010261293526e-07,1.5456848309360645e-07,2.400896694619566e-07,2.3234956063335476e-07,2.2064761340590592e-07,4.4844427784114047e-07,9.571438320288302e-08,1.4963849337089923e-07,1.887553319876194e-07,1.0858992135718523e-06,1.0490648086665028e-06,1.554871099175859e-07,5.464800180748629e-07,1.1296923053399358e-06,2.5872013932462416e-06,2.551151104070114e-07,5.904359971995035e-07,7.015327006011841e-07,2.69934158733773e-07,2.6445773314842903e-07,3.923431109740803e-07
2011-02-28,3.909757104841164e-07,7.022039421360323e-07,6.093677405043586e-07,1.3049003824531006e-07,7.315954209840207e-07,0.0,7.239161361632682e-07,3.7445964911474335e-07,0.0,9.390582185334949e-07,9.581603059568627e-07,2.0160636567712892e-07,2.8667340501234506e-07,-4.0999549229070515e-07,1.1325576601468415e-06,4.438109540757356e-07,3.0197981347771877e-07,4.7582828908981607e-07,1.5662986837304506e-06,1.0896781173987545e-07,5.13217721390987e-07,5.712701909432642e-07,4.555546055826443e-07,1.532204289114268e-06,2.23651067201848e-07,3.3481852581059335e-07,3.906629276231995e-08,3.7148716255934665e-07,4.5372923026647216e-07,6.589633829604464e-07,8.819525837490281e-07,2.853954176943279e-07,2.9599071120290434e-07,1.6335951830887923e-06,7.00405160084534e-07,1.2469650541523225e-07,1.9499075990157562e-07,9.549842853029303e-08,3.798549535758453e-07,1.9146436801189995e-07,-1.3463010261293526e-07,1.0223418874109511e-07,2.400896694619566e-07,2.3234956063335476e-07,2.2064761340590592e-07,4.4844427784114047e-07,9.571438320288302e-08,3.358657905650777e-07,1.1812054112507132e-07,7.641628134614451e-07,7.482729969333491e-07,1.554871099175859e-07,3.2814036115116405e-07,1.1296923053399358e-06,1.6015657531790319e-06,2.551151104070114e-07,5.904359971995035e-07,3.934842545591722e-07,2.69934158733773e-07,1.90862018133819e-07,1.8314164255860837e-07
2011-03-31,2.3575500599337168e-07,3.894824675507219e-07,6.093677405043586e-07,7.444657819425836e-08,5.081653521071992e-07,-1.6516221870378052e-07,7.239161361632682e-07,3.7445964911474335e-07,-4.720667335637958e-08,4.6501627517948555e-07,4.6043274899244237e-07,-6.325110536910818e-08,1.6182102611412498e-07,-2.709419883377219e-07,4.4962200302208923e-07,1.8797824557057275e-07,4.792213123518822e-07,6.377299181897364e-07,-1.7699785670057506e-06,1.0896781173987545e-07,3.76032105464695e-07,7.823968655844021e-07,2.3265934646314044e-07,3.868963349256066e-07,1.2474573144133818e-07,3.3481852581059335e-07,0.0,3.7148716255934665e-07,4.5372923026647216e-07,6.589633829604464e-07,6.320625133450086e-07,2.853954176943279e-07,2.0453157889477498e-07,0.0,4.921412421189356e-07,1.8786873029773685e-07,1.2318380474092733e-07,5.847277491150839e-08,2.2980052801146625e-07,1.3296268786854083e-07,-1.3463010261293526e-07,7.48928498843991e-08,2.400896694619566e-07,1.5992983096844188e-07,1.632705738677053e-07,2.885582864780055e-07,9.571438320288302e-08,-3.4073530983789256e-07,8.4995808997475e-08,5.047801431922506e-07,3.488610287681114e-07,9.49988194351406e-08,2.1192096063157603e-07,2.421864588871478e-07,1.1052770879071065e-06,2.551151104070114e-07,2.950885114468301e-07,3.934842545591722e-07,1.9528535277989844e-07,1.90862018133819e-07,1.8314164255860837e-07
2011-04-29,4.1042175866244394e-07,7.567910564879053e-07,6.093677405043586e-07,7.444657819425836e-08,7.239150086860697e-07,6.324569746425707e-07,7.239161361632682e-07,3.7445964911474335e-07,-2.6958527559734067e-08,8.828063522789121e-07,8.66496664937704e-07,-9.882869285293965e-08,1.6182102611412498e-07,1.1409774209809966e-07,7.77533509600298e-07,4.3409959390605505e-08,4.792213123518822e-07,-7.065784641645191e-07,-2.61151168971985e-06,3.494190613964693e-08,3.76032105464695e-07,1.2958575254864389e-06,2.3265934646314044e-07,1.1381952254716445e-07,0.0,2.2321961334550504e-07,0.0,6.297414151671377e-07,6.405330599303804e-07,6.589633829604464e-07,1.0330717798256512e-06,3.8934294475160744e-07,2.7470181477553395e-07,0.0,7.274085747289687e-07,2.8747041490167206e-07,2.161113562574198e-07,1.5080723545439775e-07,2.2980052801146625e-07,2.2874238976594477e-07,-1.3463010261293526e-07,1.7707683574256557e-07,2.400896694619566e-07,2.491891446189566e-07,2.427046742385473e-07,4.465499836699667e-07,9.571438320288302e-08,6.299438845644814e-07,1.6747156556486172e-07,5.047801431922506e-07,-7.588156079320385e-07,1.4468173943830197e-07,2.1192096063157603e-07,4.5975683058634244e-07,1.761642366209209e-06,5.104651066116323e-07,3.983920485087442e-07,3.934842545591722e-07,1.9528535277989844e-07,1.90862018133819e-07,5.4383247701958035e-08
2011-05-31,4.1042175866244394e-07,7.567910564879053e-07,6.093677405043586e-07,4.9274610105711986e-08,7.239150086860697e-07,6.324569746425707e-07,7.239161361632682e-07,3.7445964911474335e-07,0.0,8.828063522789121e-07,6.044390902469229e-07,3.5135095328416785e-07,2.2903095332054003e-07,1.1409774209809966e-07,7.77533509600298e-07,3.995168297896519e-07,-4.944251651417331e-07,-7.065784641645191e-07,-2.61151168971985e-06,-1.5468827893169274e-07,3.76032105464695e-07,1.2958575254864389e-06,3.56401835095634e-07,9.371651459081649e-07,0.0,4.1820874269967963e-07,5.558752515653015e-07,6.297414151671377e-07,3.7407915565076814e-07,6.589633829604464e-07,6.469013939695818e-07,2.2822587633440418e-07,1.441660778096833e-07,1.3611313428781842e-06,4.776457772829158e-07,1.1689490132506066e-07,8.943389016763423e-08,1.5080723545439775e-07,1.2079513833311864e-07,8.416222369807954e-08,-8.887164992969307e-08,9.360815245994561e-08,2.400896694619566e-07,1.6631654391050812e-07,2.427046742385473e-07,3.1132540720740103e-07,3.1149466996504854e-08,4.166499541965473e-08,1.6747156556486172e-07,3.677229131518636e-07,-5.376114342230436e-07,4.500418494633494e-08,2.1192096063157603e-07,1.5176059850588937e-07,1.761642366209209e-06,5.104651066116323e-07,3.983920485087442e-07,2.2294078327430965e-07,0.0,8.210421350405306e-08,1.7117509743742154e-08
