Date,Symbol,Trade contracts,End contracts,Vendor roll label date,Executed roll,Physical contract turnover,Charged contract turnover
1990-06-29,ZM,0.0,-3.0,True,True,6.0,6.0
1990-06-29,ZS,0.0,-1.0,True,True,2.0,2.0
1990-07-02,YYT,-3.0,-8.0,False,False,3.0,3.0
1990-07-02,ZN,-1.0,-3.0,False,False,1.0,1.0
1990-07-02,6B,1.0,3.0,False,False,1.0,1.0
1990-07-02,6J,1.0,0.0,False,False,1.0,1.0
1990-07-02,BRN,-7.0,-4.0,False,False,7.0,7.0
1990-07-02,CL,-4.0,-3.0,False,False,4.0,4.0
1990-07-02,GAS,2.0,6.0,False,False,2.0,2.0
1990-07-02,HO,2.0,4.0,False,False,2.0,2.0
1990-07-02,GC,-1.0,-4.0,False,False,1.0,1.0
1990-07-02,PL,-2.0,-6.0,False,False,2.0,2.0
1990-07-02,CC,-5.0,-4.0,False,False,5.0,5.0
1990-07-02,CT,3.0,3.0,False,False,3.0,3.0
1990-07-02,HE,1.0,3.0,False,False,1.0,1.0
1990-07-02,LE,2.0,8.0,False,False,2.0,2.0
1990-07-02,SB,2.0,4.0,False,False,2.0,2.0
1990-07-02,ZC,-4.0,4.0,False,False,4.0,4.0
1990-07-02,ZL,1.0,6.0,False,False,1.0,1.0
1990-07-02,ZM,-3.0,-6.0,False,False,3.0,3.0
1990-07-02,ZS,-2.0,-3.0,False,False,2.0,2.0
1990-07-12,GAS,0.0,6.0,True,True,12.0,12.0
1990-07-13,HE,0.0,3.0,True,True,6.0,6.0
1990-07-20,CL,0.0,-3.0,True,True,6.0,6.0
1990-07-31,BRN,0.0,-4.0,True,True,8.0,8.0
1990-07-31,HO,0.0,4.0,True,True,8.0,8.0
1990-07-31,GC,0.0,-4.0,True,True,8.0,8.0
1990-07-31,ZL,0.0,6.0,True,True,12.0,12.0
1990-07-31,ZM,0.0,-6.0,True,True,12.0,12.0
1990-07-31,ZS,0.0,-3.0,True,True,6.0,6.0
1990-08-01,YXT,-1.0,-4.0,False,False,1.0,1.0
1990-08-01,YYT,-1.0,-9.0,False,False,1.0,1.0
1990-08-01,ZF,-2.0,-6.0,False,False,2.0,2.0
1990-08-01,6B,-1.0,2.0,False,False,1.0,1.0
1990-08-01,6C,1.0,6.0,False,False,1.0,1.0
1990-08-01,BRN,8.0,4.0,False,False,8.0,8.0
1990-08-01,CL,4.0,1.0,False,False,4.0,4.0
1990-08-01,GAS,-2.0,4.0,False,False,2.0,2.0
1990-08-01,CT,1.0,4.0,False,False,1.0,1.0
1990-08-01,KC,2.0,0.0,False,False,2.0,2.0
1990-08-01,LE,1.0,9.0,False,False,1.0,1.0
1990-08-01,RS,-9.0,-20.0,False,False,9.0,9.0
1990-08-01,SB,-6.0,-2.0,False,False,6.0,6.0
1990-08-06,LE,0.0,9.0,True,True,18.0,18.0
1990-08-10,GAS,0.0,4.0,True,True,8.0,8.0
1990-08-14,HE,0.0,3.0,True,True,6.0,6.0
1990-08-21,CL,0.0,1.0,True,True,2.0,2.0
1990-08-21,CC,0.0,-4.0,True,True,8.0,8.0
1990-08-30,LLG,0.0,-1.0,True,True,2.0,2.0
1990-08-30,GF,0.0,6.0,True,True,12.0,12.0
1990-08-31,ZF,0.0,-6.0,True,True,12.0,12.0
1990-08-31,ZN,0.0,-3.0,True,True,6.0,6.0
