Window,Cohort definition,Scope,Group,Closed episodes,Open or censored episodes,Entries before window,Wins,Losses,Breakevens,Win rate,Loss rate,Non-breakeven win rate,Profit factor contribution,Profit factor USD,Profit factor denominator zero,Expectancy bps,Expectancy USD,Average win bps,Average loss bps,Payoff ratio contribution,Average win USD,Average loss USD,Payoff ratio USD,Median outcome bps,Mean holding sessions,Median holding sessions,Low sample,Definition version
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,SI,17,1,0,6,11,0,0.35294117647058826,0.6470588235294118,0.35294117647058826,1.5076586709583912,1.7723952649627763,False,5.84054337067965,11043.80977739264,49.145317550973985,17.78024254584453,2.764040896757051,71802.16955331415,22097.11373674636,3.2493913190984234,-7.7616573411978695,79.41176470588235,23.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,SJB,15,1,1,9,6,0,0.6,0.4,0.6,2.738270226223808,2.4159305149542525,False,12.144479963724507,12605.656223590708,28.696517430906688,20.959594970639852,1.369135113111904,35847.321143179746,22256.84115579285,1.610620343302835,2.871542372727266,130.13333333333333,86.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,SNK,24,1,1,12,12,0,0.5,0.5,0.5,2.974431877819874,2.5017365240398646,False,13.045100809115768,14538.286645430591,36.280828976502455,14.415305206886671,2.5168269735398936,48438.540470457665,19361.967179596493,2.501736524039864,2.68908034936783,90.79166666666667,76.0,False,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,SXF,12,1,1,4,8,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.6223820803610516,2.4485163887934904,False,20.660460264886357,15718.878459358188,85.61690715782176,11.817763181581347,7.244764160722103,79711.76263994326,16277.56363093435,4.897032777586981,-3.002681262580384,158.0,65.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,YAP,12,1,1,7,5,0,0.5833333333333334,0.4166666666666667,0.5833333333333334,3.599436152840711,2.778866175688585,False,15.730310897839772,14293.860434013737,37.340130537308845,14.52343659741693,2.5710258234576506,38278.692820933924,19284.90490767451,1.9849044112061323,0.70267711821925,160.83333333333334,87.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,YM,10,1,1,4,6,0,0.4,0.6,0.4,1.256393466229749,1.089862830679189,False,2.7740575001166334,950.9526330823694,33.983975580027625,18.03255455315736,1.8845901993446235,28833.05368581605,17637.114735406747,1.6347942460187834,-4.424224324307289,89.1,42.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZB,11,1,1,4,7,0,0.36363636363636365,0.6363636363636364,0.36363636363636365,2.689359946636096,3.0824724448033485,False,13.760269957254932,19617.108557030097,48.19215803806931,14.932970110090386,3.2272319359633146,79852.33657847824,14803.02174094027,5.39432677840586,-0.7720574251782929,193.54545454545453,108.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZC,12,1,1,5,7,0,0.4166666666666667,0.5833333333333334,0.4166666666666667,1.0170484038840015,0.8410001686303668,False,0.1895618490470832,-2522.185892647805,22.617199512918422,22.238075814824256,1.0170484038840015,32017.524689360842,27193.407736939695,1.1774002360825133,0.29645347598465693,173.91666666666666,130.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZF,14,1,1,7,7,0,0.5,0.5,0.5,3.1006071284193095,3.767648763855872,False,13.23512349141685,18101.694307175952,39.07148337050243,12.601236387668722,3.1006071284193095,49284.30736645309,13080.918752101174,3.7676487638558727,-0.055593445165230695,153.42857142857142,43.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZL,22,1,0,11,11,0,0.5,0.5,0.5,1.2553587982524337,1.7175009856623384,False,2.4325176763875,7194.683094871921,23.91679854272274,19.05176318994774,1.2553587982524337,34444.20440917952,20054.838219435682,1.7175009856623384,0.49714654860577556,86.9090909090909,33.0,False,directional episode v1
